非	B-操作人
会	I-操作人
员	I-操作人
机	I-操作人
构	I-操作人
申	B-操作
请	I-操作
成	I-操作
为	I-操作
债	B-操作部分
券	I-操作部分
交	I-操作部分
易	I-操作部分
参	I-操作部分
与	I-操作部分
人	I-操作部分
，	O
应	O
当	O
符	B-操作
合	I-操作
下	B-操作部分
列	I-操作部分
条	I-操作部分
件	I-操作部分
：	O
(	O
一	O
)	O
具	O
备	O
较	O
强	O
的	O
资	O
本	O
、	O
资	O
金	O
实	O
力	O
与	O
持	O
续	O
经	O
营	O
能	O
力	O
，	O
或	O
者	O
具	O
有	O
参	O
与	O
本	B-系统
所	I-系统
债	B-交易品种
券	I-交易品种
交	O
易	O
的	O
相	O
应	O
功	O
能	O
；	O
(	O
二	O
)	O
具	O
有	O
独	O
立	O
的	O
债	B-交易品种
券	I-交易品种
交	O
易	O
团	O
队	O
；	O
(	O
三	O
)	O
具	O
有	O
完	O
善	O
的	O
交	O
易	O
业	O
务	O
管	O
理	O
制	O
度	O
和	O
风	O
险	O
控	O
制	O
制	O
度	O
；	O
(	O
四	O
)	O
具	O
有	O
能	O
够	O
支	O
持	O
开	O
展	O
债	B-交易品种
券	I-交易品种
交	O
易	O
的	O
相	O
关	O
技	O
术	O
系	O
统	O
；	O
(	O
五	O
)	O
债	B-交易品种
券	I-交易品种
投	O
资	O
交	O
易	O
量	O
较	O
大	O
，	O
具	O
有	O
较	O
强	O
的	O
债	B-交易品种
券	I-交易品种
交	O
易	O
需	O
求	O
；	O
(	O
六	O
)	O
近	B-时间
2	I-时间
年	I-时间
无	O
债	B-交易品种
券	I-交易品种
交	O
易	O
结	O
算	O
重	O
大	O
违	O
法	O
违	O
规	O
行	O
为	O
；	O
(	O
七	O
)	O
本	B-系统
所	I-系统
规	O
定	O
的	O
其	O
他	O
条	O
件	O
。	O
