分	B-交易品种
级	I-交易品种
基	I-交易品种
金	I-交易品种
发	O
生	O
份	B-事件
额	I-事件
折	I-事件
算	I-事件
的	O
，	O
折	B-时间
算	I-时间
完	I-时间
成	I-时间
后	I-时间
次	I-时间
一	I-时间
交	I-时间
易	I-时间
日	I-时间
即	B-key
时	I-key
行	I-key
情	I-key
显	I-key
示	I-key
的	I-key
前	I-key
收	I-key
盘	I-key
价	I-key
调	O
整	O
为	O
基	B-操作人
金	I-操作人
管	I-操作人
理	I-操作人
人	I-操作人
最	B-时间
近	I-时间
公	O
布	O
并	O
向	O
本	O
所	O
提	O
供	O
的	O
基	B-价格
金	I-价格
份	I-价格
额	I-价格
净	I-价格
值	I-价格
或	B-op
者	I-op
参	B-价格
考	I-价格
净	I-价格
值	I-价格
（	O
四	B-value
舍	I-value
五	I-value
入	I-value
至	B-价格
0	I-价格
.	I-价格
0	I-价格
0	I-价格
1	I-价格
元	I-价格
）	O
，	O
其	O
准	O
确	O
性	O
由	O
基	B-操作人
金	I-操作人
管	I-操作人
理	I-操作人
人	I-操作人
负	O
责	O
。	O
