创	B-状态
新	I-状态
企	I-状态
业	I-状态
存	I-状态
在	I-状态
特	I-状态
定	I-状态
经	I-状态
营	I-状态
风	I-状态
险	I-状态
以	I-状态
及	I-状态
红	I-状态
筹	I-状态
公	I-状态
司	I-状态
具	I-状态
有	I-状态
投	I-状态
票	I-状态
权	I-状态
差	I-状态
异	I-状态
、	I-状态
协	I-状态
议	I-状态
控	I-状态
制	I-状态
架	I-状态
构	I-状态
或	I-状态
者	I-状态
类	I-状态
似	I-状态
特	I-状态
殊	I-状态
安	I-状态
排	I-状态
的	O
，	O
应	O
当	O
充	B-操作
分	I-操作
、	I-操作
详	I-操作
细	I-操作
披	I-操作
露	I-操作
相	B-操作部分
关	I-操作部分
情	I-操作部分
况	I-操作部分
特	I-操作部分
别	I-操作部分
是	I-操作部分
风	I-操作部分
险	I-操作部分
、	I-操作部分
公	I-操作部分
司	I-操作部分
治	I-操作部分
理	I-操作部分
等	I-操作部分
信	I-操作部分
息	I-操作部分
，	O
以	O
及	O
依	B-操作
法	I-操作
落	I-操作
实	I-操作
保	I-操作
护	I-操作
投	B-操作部分
资	I-操作部分
者	I-操作部分
合	I-操作部分
法	I-操作部分
权	I-操作部分
益	I-操作部分
规	I-操作部分
定	I-操作部分
的	I-操作部分
各	I-操作部分
项	I-操作部分
措	I-操作部分
施	I-操作部分
。	O
存	B-操作人
托	I-操作人
人	I-操作人
应	O
当	O
按	B-操作
照	I-操作
境	B-操作部分
内	I-操作部分
法	I-操作部分
律	I-操作部分
、	I-操作部分
本	I-操作部分
所	I-操作部分
业	I-操作部分
务	I-操作部分
规	I-操作部分
则	I-操作部分
及	I-操作部分
其	I-操作部分
他	I-操作部分
相	I-操作部分
关	I-操作部分
规	I-操作部分
定	I-操作部分
和	I-操作部分
存	I-操作部分
托	I-操作部分
协	I-操作部分
议	I-操作部分
，	O
忠	B-操作
实	I-操作
、	I-操作
勤	I-操作
勉	I-操作
地	I-操作
履	I-操作
行	I-操作
存	B-操作部分
托	I-操作部分
人	I-操作部分
的	I-操作部分
各	I-操作部分
项	I-操作部分
职	I-操作部分
责	I-操作部分
和	I-操作部分
义	I-操作部分
务	I-操作部分
，	O
不	B-操作
得	I-操作
损	I-操作
害	I-操作
存	B-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
持	I-操作部分
有	I-操作部分
人	I-操作部分
的	I-操作部分
合	I-操作部分
法	I-操作部分
权	I-操作部分
益	I-操作部分
。	O
