基	B-状态
础	I-状态
资	I-状态
产	I-状态
为	I-状态
不	I-状态
动	I-状态
产	I-状态
的	O
，	O
管	B-操作人
理	I-操作人
人	I-操作人
应	O
当	O
委	B-操作
托	I-操作
符	B-操作部分
合	I-操作部分
条	I-操作部分
件	I-操作部分
的	I-操作部分
专	I-操作部分
业	I-操作部分
评	I-操作部分
估	I-操作部分
机	I-操作部分
构	I-操作部分
对	I-操作部分
不	I-操作部分
动	I-操作部分
产	I-操作部分
价	I-操作部分
值	I-操作部分
进	I-操作部分
行	I-操作部分
评	I-操作部分
估	I-操作部分
，	I-操作部分
出	I-操作部分
具	I-操作部分
评	I-操作部分
估	I-操作部分
报	I-操作部分
告	I-操作部分
。	O
专	B-value
项	I-value
计	I-value
划	I-value
法	I-value
律	I-value
文	I-value
件	I-value
应	O
当	O
约	B-操作
定	I-操作
，	O
在	B-时间
专	I-时间
项	I-时间
计	I-时间
划	I-时间
存	I-时间
续	I-时间
期	I-时间
间	I-时间
，	O
不	B-事件
动	I-事件
产	I-事件
发	I-事件
生	I-事件
收	I-事件
购	I-事件
或	I-事件
者	I-事件
处	I-事件
置	I-事件
等	I-事件
影	I-事件
响	I-事件
其	I-事件
价	I-事件
值	I-事件
判	I-事件
断	I-事件
的	I-事件
重	I-事件
大	I-事件
事	I-事件
项	I-事件
的	I-事件
，	O
管	B-操作部分
理	I-操作部分
人	I-操作部分
应	I-操作部分
当	I-操作部分
及	I-操作部分
时	I-操作部分
组	I-操作部分
织	I-操作部分
专	I-操作部分
业	I-操作部分
评	I-操作部分
估	I-操作部分
机	I-操作部分
构	I-操作部分
进	I-操作部分
行	I-操作部分
评	I-操作部分
估	I-操作部分
。	O
