应	B-事件
联	I-事件
交	I-事件
所	I-事件
提	I-事件
请	I-事件
或	I-事件
者	I-事件
在	I-事件
本	I-事件
所	I-事件
认	I-事件
为	I-事件
必	I-事件
要	I-事件
时	I-事件
，	O
本	B-系统
所	I-系统
可	O
以	O
对	O
会	O
员	O
及	O
其	O
客	O
户	O
在	B-value
港	I-value
股	I-value
通	I-value
交	I-value
易	I-value
中	I-value
出	I-value
现	I-value
的	I-value
市	I-value
场	I-value
失	I-value
当	I-value
行	I-value
为	I-value
或	B-or
者	I-or
其	B-value
他	I-value
违	I-value
规	I-value
行	I-value
为	I-value
采	B-操作
取	I-操作
非	B-操作部分
现	I-操作部分
场	I-操作部分
调	I-操作部分
查	I-操作部分
和	I-操作部分
现	I-操作部分
场	I-操作部分
调	I-操作部分
查	I-操作部分
措	I-操作部分
施	I-操作部分
，	O
要	B-操作
求	I-操作
相	B-操作部分
关	I-操作部分
会	I-操作部分
员	I-操作部分
及	I-操作部分
其	I-操作部分
客	I-操作部分
户	I-操作部分
提	I-操作部分
供	I-操作部分
相	I-操作部分
关	I-操作部分
资	I-操作部分
料	I-操作部分
，	O
并	O
可	O
向	O
联	B-系统
交	I-系统
所	I-系统
提	B-操作
供	I-操作
相	B-操作部分
关	I-操作部分
信	I-操作部分
息	I-操作部分
。	O
