个	B-操作人
人	I-操作人
投	I-操作人
资	I-操作人
者	I-操作人
参	B-操作
与	I-操作
港	B-操作部分
股	I-操作部分
通	I-操作部分
交	I-操作部分
易	I-操作部分
，	O
应	O
当	O
至	O
少	O
符	O
合	O
下	O
列	O
条	O
件	O
：	O
（	O
一	O
）	O
证	B-key
券	I-key
账	I-key
户	I-key
及	I-key
资	I-key
金	I-key
账	I-key
户	I-key
资	I-key
产	I-key
合	I-key
计	I-key
不	B-op
低	I-op
于	I-op
人	B-value
民	I-value
币	I-value
5	I-value
0	I-value
万	I-value
元	I-value
；	O
（	O
二	O
）	O
不	O
存	O
在	O
严	O
重	O
不	O
良	O
诚	O
信	O
记	O
录	O
；	O
（	O
三	O
）	O
不	O
存	O
在	O
法	O
律	O
、	O
行	O
政	O
法	O
规	O
、	O
部	O
门	O
规	O
章	O
、	O
规	O
范	O
性	O
文	O
件	O
和	O
业	O
务	O
规	O
则	O
规	O
定	O
的	O
禁	B-状态
止	I-状态
或	I-状态
者	I-状态
限	I-状态
制	I-状态
参	I-状态
与	I-状态
港	I-状态
股	I-状态
通	I-状态
交	I-状态
易	I-状态
的	O
情	O
形	O
。	O
本	B-系统
所	I-系统
可	O
以	O
根	O
据	O
市	B-value
场	I-value
情	I-value
况	I-value
，	O
调	B-操作
整	I-操作
前	B-结合规则
款	I-结合规则
规	B-操作部分
定	I-操作部分
的	I-操作部分
条	I-操作部分
件	I-操作部分
。	O
