连	B-value
续	I-value
匹	I-value
配	I-value
时	O
，	O
成	B-key
交	I-key
价	I-key
格	I-key
的	O
确	O
定	O
原	O
则	O
为	O
：	O
(	O
一	O
)	O
最	B-价格
高	I-价格
买	I-价格
入	I-价格
申	I-价格
报	I-价格
与	O
最	B-价格
低	I-价格
卖	I-价格
出	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
相	B-op
同	I-op
，	O
以	O
该	B-价格
价	I-价格
格	I-价格
为	O
成	B-key
交	I-key
价	I-key
；	O
(	O
二	O
)	O
买	B-key
入	I-key
申	I-key
报	I-key
价	I-key
格	I-key
高	B-op
于	I-op
集	B-价格
中	I-价格
申	I-价格
报	I-价格
簿	I-价格
当	I-价格
时	I-价格
最	I-价格
低	I-价格
卖	I-价格
出	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
时	O
，	O
以	O
集	B-价格
中	I-价格
申	I-价格
报	I-价格
簿	I-价格
当	I-价格
时	I-价格
的	I-价格
最	I-价格
低	I-价格
卖	I-价格
出	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
为	O
成	B-key
交	I-key
价	I-key
；	O
(	O
三	O
)	O
卖	B-key
出	I-key
申	I-key
报	I-key
价	I-key
格	I-key
低	B-op
于	I-op
集	B-价格
中	I-价格
申	I-价格
报	I-价格
簿	I-价格
当	I-价格
时	I-价格
最	I-价格
高	I-价格
买	I-价格
入	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
时	O
，	O
以	O
集	B-价格
中	I-价格
申	I-价格
报	I-价格
簿	I-价格
当	I-价格
时	I-价格
的	I-价格
最	I-价格
高	I-价格
买	I-价格
入	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
为	O
成	B-key
交	I-key
价	I-key
。	O
