聘	B-事件
请	I-事件
资	I-事件
信	I-事件
评	I-事件
级	I-事件
机	I-事件
构	I-事件
针	I-事件
对	I-事件
资	I-事件
产	I-事件
支	I-事件
持	I-事件
证	I-事件
券	I-事件
出	I-事件
具	I-事件
信	I-事件
用	I-事件
评	I-事件
级	I-事件
报	I-事件
告	I-事件
的	O
，	O
在	B-时间
评	I-时间
级	I-时间
对	I-时间
象	I-时间
有	I-时间
效	I-时间
存	I-时间
续	I-时间
期	I-时间
间	I-时间
，	O
资	B-系统
信	I-系统
评	I-系统
级	I-系统
机	I-系统
构	I-系统
应	O
当	O
在	O
每	B-时间
年	I-时间
6	I-时间
月	I-时间
3	I-时间
0	I-时间
日	I-时间
前	I-时间
向	O
合	B-操作人
格	I-操作人
投	I-操作人
资	I-操作人
者	I-操作人
披	B-操作
露	I-操作
上	B-操作部分
年	I-操作部分
度	I-操作部分
的	I-操作部分
定	I-操作部分
期	I-操作部分
跟	I-操作部分
踪	I-操作部分
评	I-操作部分
级	I-操作部分
报	I-操作部分
告	I-操作部分
，	O
并	O
应	O
当	O
及	O
时	O
披	O
露	O
不	O
定	O
期	O
的	O
跟	O
踪	O
评	O
级	O
报	O
告	O
。	O
