从	B-操作人
事	I-操作人
债	I-操作人
券	I-操作人
交	I-操作人
易	I-操作人
技	I-操作人
术	I-操作人
服	I-操作人
务	I-操作人
的	I-操作人
机	I-操作人
构	I-操作人
开	O
展	O
债	B-交易品种
券	I-交易品种
市	O
场	O
相	O
关	O
技	O
术	O
服	O
务	O
应	O
当	O
符	B-操作
合	I-操作
本	B-操作部分
所	I-操作部分
技	I-操作部分
术	I-操作部分
规	I-操作部分
范	I-操作部分
要	I-操作部分
求	I-操作部分
，	O
及	O
时	O
做	B-操作
好	I-操作
技	B-操作部分
术	I-操作部分
系	I-操作部分
统	I-操作部分
维	I-操作部分
护	I-操作部分
和	I-操作部分
升	I-操作部分
级	I-操作部分
工	I-操作部分
作	I-操作部分
，	O
切	O
实	O
保	B-操作
障	I-操作
技	B-操作部分
术	I-操作部分
系	I-操作部分
统	I-操作部分
的	I-操作部分
安	I-操作部分
全	I-操作部分
稳	I-操作部分
定	I-操作部分
运	I-操作部分
行	I-操作部分
。	O
