有	B-value
价	I-value
格	I-value
涨	I-value
跌	I-value
幅	I-value
限	I-value
制	I-value
的	O
创	B-交易品种
业	I-交易品种
板	I-交易品种
股	I-交易品种
票	I-交易品种
竞	B-交易方式
价	I-交易方式
交	I-交易方式
易	I-交易方式
出	O
现	O
下	O
列	O
情	O
形	O
之	O
一	O
的	O
，	O
本	B-系统
所	I-系统
分	O
别	O
公	O
布	O
相	O
关	O
股	O
票	O
当	O
日	O
买	O
入	O
、	O
卖	O
出	O
金	O
额	O
最	O
大	O
的	O
五	O
家	O
会	O
员	O
证	O
券	O
营	O
业	O
部	O
或	O
交	O
易	O
单	O
元	O
的	O
名	O
称	O
及	O
其	O
各	O
自	O
买	O
入	O
、	O
卖	O
出	O
金	O
额	O
：	O
（	O
一	O
）	O
当	B-时间
日	I-时间
收	B-价格
盘	I-价格
价	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
达	I-价格
到	I-价格
±	I-价格
1	I-价格
5	I-价格
%	I-价格
的	O
各	O
前	O
五	O
只	O
股	B-交易品种
票	I-交易品种
；	O
（	O
二	O
）	O
当	B-时间
日	I-时间
价	B-价格
格	I-价格
振	I-价格
幅	I-价格
达	I-价格
到	I-价格
3	I-价格
0	I-价格
%	I-价格
的	O
前	O
五	O
只	O
股	B-交易品种
票	I-交易品种
，	O
价	B-价格
格	I-价格
振	I-价格
幅	I-价格
的	O
计	O
算	O
公	O
式	O
为	O
：	O
价	B-价格
格	I-价格
振	I-价格
幅	I-价格
=	B-op
（	B-op
当	B-价格
日	I-价格
最	I-价格
高	I-价格
价	I-价格
-	B-op
当	B-价格
日	I-价格
最	I-价格
低	I-价格
价	I-价格
）	B-op
/	B-op
当	B-价格
日	I-价格
最	I-价格
低	I-价格
价	I-价格
×	B-op
1	B-价格
0	I-价格
0	I-价格
%	I-价格
；	O
（	O
三	O
）	O
当	B-时间
日	I-时间
换	B-数量
手	I-数量
率	I-数量
达	I-数量
到	I-数量
3	I-数量
0	I-数量
%	I-数量
的	O
前	O
五	O
只	O
股	B-交易品种
票	I-交易品种
，	O
换	B-数量
手	I-数量
率	I-数量
的	O
计	O
算	O
公	O
式	O
为	O
：	O
换	B-数量
手	I-数量
率	I-数量
=	B-op
成	B-数量
交	I-数量
股	I-数量
数	I-数量
/	B-op
无	B-数量
限	I-数量
售	I-数量
条	I-数量
件	I-数量
股	I-数量
份	I-数量
总	I-数量
数	I-数量
×	B-op
1	B-数量
0	I-数量
0	I-数量
%	I-数量
。	O
收	O
盘	O
价	O
涨	O
跌	O
幅	O
、	O
价	O
格	O
振	O
幅	O
或	O
换	O
手	O
率	O
相	O
同	O
的	O
，	O
依	O
次	O
按	O
成	O
交	O
金	O
额	O
和	O
成	O
交	O
量	O
选	O
取	O
。	O
