本	B-操作人
所	I-操作人
会	I-操作人
员	I-操作人
应	O
当	O
制	B-操作
定	I-操作
港	B-操作部分
股	I-操作部分
通	I-操作部分
业	I-操作部分
务	I-操作部分
投	I-操作部分
资	I-操作部分
者	I-操作部分
适	I-操作部分
当	I-操作部分
性	I-操作部分
管	I-操作部分
理	I-操作部分
的	I-操作部分
标	I-操作部分
准	I-操作部分
、	I-操作部分
程	I-操作部分
序	I-操作部分
、	I-操作部分
方	I-操作部分
法	I-操作部分
以	O
及	O
执	B-操作
行	I-操作
投	B-操作部分
资	I-操作部分
者	I-操作部分
适	I-操作部分
当	I-操作部分
性	I-操作部分
制	I-操作部分
度	I-操作部分
的	I-操作部分
保	I-操作部分
障	I-操作部分
措	I-操作部分
施	I-操作部分
。	O
会	O
员	O
制	O
定	O
的	O
投	B-key
资	I-key
者	I-key
适	I-key
当	I-key
性	I-key
管	I-key
理	I-key
标	I-key
准	I-key
应	O
当	O
包	O
括	O
投	O
资	O
者	O
的	O
资	B-value
产	I-value
状	I-value
况	I-value
、	O
知	B-value
识	I-value
水	I-value
平	I-value
、	O
风	B-value
险	I-value
承	I-value
受	I-value
能	I-value
力	I-value
等	O
方	O
面	O
。	O
