联	B-事件
交	I-事件
所	I-事件
证	I-事件
券	I-事件
交	I-事件
易	I-事件
服	I-事件
务	I-事件
公	I-事件
司	I-事件
违	I-事件
反	I-事件
本	I-事件
办	I-事件
法	I-事件
和	I-事件
本	I-事件
所	I-事件
其	I-事件
他	I-事件
相	I-事件
关	I-事件
规	I-事件
定	I-事件
的	O
，	O
本	B-系统
所	I-系统
可	O
以	O
实	B-操作
施	I-操作
口	B-value
头	I-value
警	I-value
示	I-value
、	O
书	B-value
面	I-value
警	I-value
示	I-value
、	O
约	B-value
见	I-value
谈	I-value
话	I-value
、	O
通	B-value
报	I-value
批	I-value
评	I-value
、	O
公	B-value
开	I-value
谴	I-value
责	I-value
等	O
监	B-操作部分
管	I-操作部分
措	I-操作部分
施	I-操作部分
或	O
者	O
纪	B-操作部分
律	I-操作部分
处	I-操作部分
分	I-操作部分
。	O
