待	B-时间
购	I-时间
回	I-时间
期	I-时间
间	I-时间
，	O
因	O
司	B-操作人
法	I-操作人
等	I-操作人
机	I-操作人
关	I-操作人
冻	B-操作
结	I-操作
或	B-or
强	B-操作
制	I-操作
执	I-操作
行	I-操作
，	O
影	B-结果
响	I-结果
配	I-结果
股	I-结果
权	I-结果
划	I-结果
转	I-结果
的	O
，	O
同	B-操作部分
一	I-操作部分
证	I-操作部分
券	I-操作部分
品	I-操作部分
种	I-操作部分
的	I-操作部分
该	I-操作部分
项	I-操作部分
权	I-操作部分
益	I-操作部分
全	B-操作
部	I-操作
留	I-操作
存	I-操作
于	O
证	B-value
券	I-value
公	I-value
司	I-value
专	I-value
用	I-value
证	I-value
券	I-value
账	I-value
户	I-value
内	O
。	O
由	O
此	O
引	B-操作部分
发	I-操作部分
的	I-操作部分
相	I-操作部分
关	I-操作部分
权	I-操作部分
益	I-操作部分
处	I-操作部分
理	I-操作部分
由	O
证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
和	I-操作人
客	I-操作人
户	I-操作人
自	B-操作
行	I-操作
协	I-操作
商	I-操作
解	I-操作
决	I-操作
。	O
