因	B-value
交	I-value
易	I-value
异	I-value
常	I-value
情	I-value
况	I-value
及	I-value
本	I-value
所	I-value
、	I-value
本	I-value
所	I-value
证	I-value
券	I-value
交	I-value
易	I-value
服	I-value
务	I-value
公	I-value
司	I-value
采	I-value
取	I-value
的	I-value
相	I-value
应	I-value
措	I-value
施	I-value
造	I-value
成	I-value
的	I-value
损	B-key
失	I-key
，	O
本	B-系统
所	I-系统
、	O
本	B-操作人
所	I-操作人
证	I-操作人
券	I-操作人
交	I-操作人
易	I-操作人
服	I-操作人
务	I-操作人
公	I-操作人
司	I-操作人
不	B-操作
承	I-操作
担	I-操作
民	B-操作部分
事	I-操作部分
赔	I-操作部分
偿	I-操作部分
责	I-操作部分
任	I-操作部分
，	O
但	O
存	O
在	O
重	O
大	O
过	O
错	O
的	O
除	O
外	O
。	O
