无	B-交易品种
价	I-交易品种
格	I-交易品种
涨	I-交易品种
跌	I-交易品种
幅	I-交易品种
限	I-交易品种
制	I-交易品种
股	I-交易品种
票	I-交易品种
竞	B-交易方式
价	I-交易方式
交	I-交易方式
易	I-交易方式
出	O
现	O
下	O
列	O
情	O
形	O
之	O
一	O
的	O
，	O
本	B-系统
所	I-系统
实	O
施	O
盘	B-操作
中	I-操作
临	I-操作
时	I-操作
停	I-操作
牌	I-操作
，	O
单	B-key
次	I-key
盘	I-key
中	I-key
临	I-key
时	I-key
停	I-key
牌	I-key
时	I-key
间	I-key
为	O
1	B-时间
0	I-时间
分	I-时间
钟	I-时间
：	O
（	O
一	O
）	O
盘	B-key
中	I-key
交	I-key
易	I-key
价	I-key
格	I-key
较	I-key
当	I-key
日	I-key
开	I-key
盘	I-key
价	I-key
格	I-key
首	B-op
次	I-op
上	I-op
涨	I-op
或	B-or
下	B-op
跌	I-op
达	B-op
到	I-op
或	B-or
超	B-op
过	I-op
3	B-价格
0	I-价格
%	I-价格
的	O
；	O
（	O
二	O
）	O
盘	B-key
中	I-key
交	I-key
易	I-key
价	I-key
格	I-key
较	I-key
当	I-key
日	I-key
开	I-key
盘	I-key
价	I-key
格	I-key
首	B-op
次	I-op
上	I-op
涨	I-op
或	B-or
下	B-op
跌	I-op
达	B-op
到	I-op
或	B-or
超	B-op
过	I-op
6	B-价格
0	I-价格
%	I-价格
的	O
；	O
（	O
三	O
）	O
证	O
监	O
会	O
或	O
者	O
本	B-系统
所	I-系统
认	O
定	O
的	O
其	O
他	O
情	O
形	O
。	O
盘	O
中	O
临	O
时	O
停	O
牌	O
具	O
体	O
时	O
间	O
以	O
本	O
所	O
公	O
告	O
为	O
准	O
，	O
临	B-key
时	I-key
停	I-key
牌	I-key
时	I-key
间	I-key
跨	B-op
越	I-op
1	B-时间
4	I-时间
:	I-时间
5	I-时间
7	I-时间
的	O
，	O
于	O
1	B-时间
4	I-时间
:	I-时间
5	I-时间
7	I-时间
复	B-操作
牌	I-操作
并	O
对	O
已	B-操作部分
接	I-操作部分
受	I-操作部分
的	I-操作部分
申	I-操作部分
报	I-操作部分
进	O
行	O
复	B-操作
牌	I-操作
集	I-操作
合	I-操作
竞	I-操作
价	I-操作
，	O
再	O
进	O
行	O
收	B-操作
盘	I-操作
集	I-操作
合	I-操作
竞	I-操作
价	I-操作
。	O
本	B-系统
所	I-系统
可	O
以	O
视	O
盘	O
中	O
交	O
易	O
情	O
况	O
调	O
整	O
相	O
关	O
指	O
标	O
阈	O
值	O
，	O
或	O
采	O
取	O
进	O
一	O
步	O
的	O
盘	O
中	O
风	O
险	O
控	O
制	O
措	O
施	O
。	O
