中	B-系统
国	I-系统
结	I-系统
算	I-系统
根	O
据	O
清	O
算	O
结	O
果	O
于	O
T	B-时间
+	I-时间
2	I-时间
日	I-时间
完	O
成	O
与	O
境	B-操作人
内	I-操作人
结	I-操作人
算	I-操作人
参	I-操作人
与	I-操作人
人	I-操作人
的	O
证	B-操作
券	I-操作
交	I-操作
收	I-操作
。	O
境	B-key
内	I-key
结	I-key
算	I-key
参	I-key
与	I-key
人	I-key
资	I-key
金	I-key
的	I-key
交	I-key
收	I-key
时	I-key
点	I-key
为	O
1	B-时间
0	I-时间
:	I-时间
3	I-时间
0	I-时间
，	O
交	O
收	O
周	O
期	O
分	O
别	O
为	O
：	O
（	O
一	O
）	O
公	B-key
司	I-key
行	I-key
为	I-key
资	I-key
金	I-key
的	I-key
交	I-key
收	I-key
周	I-key
期	I-key
为	O
T	B-时间
+	I-时间
1	I-时间
；	O
（	O
二	O
）	O
净	B-key
买	I-key
入	I-key
证	I-key
券	I-key
的	I-key
交	I-key
易	I-key
净	I-key
应	I-key
付	I-key
资	I-key
金	I-key
交	I-key
收	I-key
周	I-key
期	I-key
为	O
T	B-时间
+	I-时间
1	I-时间
；	O
（	O
三	O
）	O
净	B-key
卖	I-key
出	I-key
证	I-key
券	I-key
的	I-key
交	I-key
易	I-key
净	I-key
应	I-key
收	I-key
资	I-key
金	I-key
交	I-key
收	I-key
周	I-key
期	I-key
为	O
T	B-时间
+	I-时间
3	I-时间
。	O
