卖	B-操作人
方	I-操作人
应	O
当	O
于	O
竞	B-时间
买	I-时间
日	I-时间
通	O
过	O
交	O
易	O
系	O
统	O
提	B-操作
交	I-操作
竞	B-操作部分
买	I-操作部分
发	I-操作部分
起	I-操作部分
申	I-操作部分
报	I-操作部分
。	OI-时间
竞	I-时间
买	O
发	O
起	O
申	O
报	O
要	O
素	B-操作
应	I-操作
当	B-操作部分
包	I-操作部分
括	I-操作部分
竞	I-操作部分
买	I-操作部分
方	I-操作部分
式	O
、	B-key
证	I-key
券	I-key
代	I-key
码	I-key
、	I-key
价	I-key
格	I-key
区	O
间	O
、	O
数	O
量	B-value
、	I-value
最	I-value
低	I-value
成	O
交	B-value
总	I-value
量	I-value
（	I-value
如	O
有	B-value
）	I-value
、	I-value
证	I-value
券	O
账	B-value
户	I-value
号	O
码	B-value
、	I-value
结	I-value
算	I-value
方	I-value
式	I-value
、	I-value
结	I-value
算	I-value
周	I-value
期	O
、	B-value
是	I-value
否	I-value
匿	I-value
名	I-value
等	I-value
。	O
竞	B-value
买	I-value
发	I-value
起	I-value
申	O
报	B-value
要	I-value
素	I-value
原	I-value
则	O
上	B-value
应	I-value
与	I-value
对	I-value
应	O
竞	O
买	B-key
预	I-key
约	I-key
的	I-key
要	I-key
素	I-key
内	I-key
容	I-key
一	O
致	O
。	O
