第	B-结合规则
3	I-结合规则
.	I-结合规则
3	I-结合规则
.	I-结合规则
1	I-结合规则
5	I-结合规则
条	I-结合规则
规	O
定	O
的	O
无	B-交易品种
价	I-交易品种
格	I-交易品种
涨	I-交易品种
跌	I-交易品种
幅	I-交易品种
限	I-交易品种
制	I-交易品种
股	I-交易品种
票	I-交易品种
，	O
本	B-系统
所	I-系统
公	O
布	O
其	O
当	O
日	O
买	O
入	O
、	O
卖	O
出	O
金	O
额	O
最	O
大	O
的	O
五	O
家	O
会	O
员	O
证	O
券	O
营	O
业	O
部	O
或	O
交	O
易	O
单	O
元	O
的	O
名	O
称	O
及	O
其	O
各	O
自	O
的	O
买	O
入	O
、	O
卖	O
出	O
金	O
额	O
。	O
股	B-交易品种
票	I-交易品种
首	B-状态
次	I-状态
公	I-状态
开	I-状态
发	I-状态
行	I-状态
上	I-状态
市	I-状态
的	O
，	O
仅	O
在	O
上	B-时间
市	I-时间
首	I-时间
日	I-时间
公	O
布	O
上	O
述	O
信	O
息	O
。	O
