证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
应	O
当	O
建	B-操作
立	I-操作
健	I-操作
全	I-操作
待	B-时间
购	I-时间
回	I-时间
期	I-时间
间	I-时间
融	B-操作部分
入	I-操作部分
方	I-操作部分
跟	I-操作部分
踪	I-操作部分
监	I-操作部分
测	I-操作部分
机	I-操作部分
制	I-操作部分
,	O
持	B-操作
续	I-操作
关	I-操作
注	I-操作
融	B-操作部分
入	I-操作部分
方	I-操作部分
的	I-操作部分
经	I-操作部分
营	I-操作部分
、	I-操作部分
财	I-操作部分
务	I-操作部分
、	I-操作部分
对	I-操作部分
外	I-操作部分
担	I-操作部分
保	I-操作部分
、	I-操作部分
诉	I-操作部分
讼	I-操作部分
等	I-操作部分
情	I-操作部分
况	I-操作部分
，	O
及	B-操作
时	I-操作
评	I-操作
估	I-操作
融	B-操作部分
入	I-操作部分
方	I-操作部分
的	I-操作部分
信	I-操作部分
用	I-操作部分
风	I-操作部分
险	I-操作部分
和	I-操作部分
履	I-操作部分
约	I-操作部分
能	I-操作部分
力	I-操作部分
。	O
