发	B-事件
生	I-事件
异	I-事件
常	I-事件
情	I-事件
况	I-事件
的	O
，	O
证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
与	I-操作人
客	I-操作人
户	I-操作人
按	O
《	B-value
客	I-value
户	I-value
协	I-value
议	I-value
》	I-value
约	I-value
定	I-value
的	I-value
方	I-value
式	I-value
进	O
行	O
处	B-操作
理	I-操作
并	O
及	O
时	O
向	O
深	B-系统
交	I-系统
所	I-系统
报	B-操作
告	I-操作
，	O
中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
深	I-操作人
圳	I-操作人
分	I-操作人
公	I-操作人
司	I-操作人
按	O
照	O
深	B-系统
交	I-系统
所	I-系统
的	O
通	B-value
知	I-value
办	B-操作
理	I-操作
相	B-操作部分
关	I-操作部分
证	I-操作部分
券	I-操作部分
和	I-操作部分
资	I-操作部分
金	I-操作部分
的	I-操作部分
划	I-操作部分
付	I-操作部分
。	O
