报	B-交易方式
价	I-交易方式
回	I-交易方式
购	I-交易方式
的	I-交易方式
到	I-交易方式
期	I-交易方式
购	I-交易方式
回	I-交易方式
交	I-交易方式
易	I-交易方式
，	O
客	B-操作人
户	I-操作人
不	B-结果
需	I-结果
发	B-操作
出	I-操作
购	B-操作部分
回	I-操作部分
委	I-操作部分
托	I-操作部分
。	O
根	O
据	O
《	O
客	O
户	O
协	O
议	O
》	O
的	O
约	O
定	O
，	O
客	B-操作人
户	I-操作人
可	O
以	O
在	O
到	B-时间
期	I-时间
购	I-时间
回	I-时间
日	I-时间
前	I-时间
全	B-操作
部	I-操作
或	I-操作
部	I-操作
分	I-操作
提	I-操作
前	I-操作
购	I-操作
回	I-操作
。	O
客	B-操作人
户	I-操作人
提	B-操作
前	I-操作
购	I-操作
回	I-操作
的	O
，	O
应	O
当	O
向	B-操作
证	I-操作
券	I-操作
公	I-操作
司	I-操作
发	I-操作
出	I-操作
购	B-操作部分
回	I-操作部分
委	I-操作部分
托	I-操作部分
。	O
