本	B-系统
所	I-系统
可	B-结果
以	I-结果
对	O
债	B-操作人
券	I-操作人
交	I-操作人
易	I-操作人
参	I-操作人
与	I-操作人
人	I-操作人
、	O
其	B-操作人
他	I-操作人
债	I-操作人
券	I-操作人
投	I-操作人
资	I-操作人
者	I-操作人
以	O
及	O
为	B-操作人
债	I-操作人
券	I-操作人
交	I-操作人
易	I-操作人
提	I-操作人
供	I-操作人
专	I-操作人
业	I-操作人
服	I-操作人
务	I-操作人
的	I-操作人
机	I-操作人
构	I-操作人
及	I-操作人
其	I-操作人
相	I-操作人
关	I-操作人
人	I-操作人
员	I-操作人
单	O
独	O
或	O
者	O
合	O
并	O
采	B-操作
取	I-操作
下	B-操作部分
列	I-操作部分
日	I-操作部分
常	I-操作部分
工	I-操作部分
作	I-操作部分
措	I-操作部分
施	I-操作部分
，	O
相	B-操作人
关	I-操作人
机	I-操作人
构	I-操作人
及	I-操作人
人	I-操作人
员	I-操作人
应	O
当	O
予	O
以	O
配	B-操作
合	I-操作
：	O
(	O
一	O
)	O
要	O
求	O
对	O
有	O
关	O
问	O
题	O
作	B-操作
出	I-操作
解	B-操作部分
释	I-操作部分
和	I-操作部分
说	I-操作部分
明	I-操作部分
；	O
(	O
二	O
)	O
要	O
求	O
提	B-操作
供	I-操作
相	B-操作部分
关	I-操作部分
文	I-操作部分
件	I-操作部分
或	I-操作部分
者	I-操作部分
资	I-操作部分
料	I-操作部分
；	O
(	O
三	O
)	O
约	B-操作
见	I-操作
有	B-操作部分
关	I-操作部分
人	I-操作部分
员	I-操作部分
；	O
(	O
四	O
)	O
调	B-操作
阅	I-操作
、	I-操作
查	I-操作
看	I-操作
交	B-操作部分
易	I-操作部分
相	I-操作部分
关	I-操作部分
资	I-操作部分
料	I-操作部分
；	O
(	O
五	O
)	O
发	B-操作
出	I-操作
规	B-操作部分
范	I-操作部分
交	I-操作部分
易	I-操作部分
建	I-操作部分
议	I-操作部分
书	I-操作部分
；	O
(	O
六	O
)	O
向	O
有	O
关	O
单	O
位	O
通	B-操作
报	I-操作
相	B-操作部分
关	I-操作部分
情	I-操作部分
况	I-操作部分
；	O
(	O
七	O
)	O
其	O
他	O
日	O
常	O
工	O
作	O
措	O
施	O
。	O
