会	B-事件
员	I-事件
接	I-事件
受	I-事件
客	I-事件
户	I-事件
的	I-事件
融	I-事件
资	I-事件
融	I-事件
券	I-事件
交	I-事件
易	I-事件
委	I-事件
托	I-事件
后	O
，	O
应	O
当	O
按	O
照	O
本	O
所	O
规	O
定	O
的	O
格	O
式	O
申	B-操作
报	I-操作
，	O
申	B-key
报	I-key
指	I-key
令	I-key
应	O
包	O
括	O
客	B-value
户	I-value
的	I-value
信	I-value
用	I-value
证	I-value
券	I-value
账	I-value
户	I-value
号	I-value
码	I-value
、	O
融	B-value
资	I-value
融	I-value
券	I-value
专	I-value
用	I-value
交	I-value
易	I-value
单	I-value
元	I-value
代	I-value
码	I-value
、	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
买	B-value
卖	I-value
方	I-value
向	I-value
、	O
价	B-value
格	I-value
、	O
数	B-value
量	I-value
、	O
融	B-value
资	I-value
融	I-value
券	I-value
相	I-value
关	I-value
标	I-value
识	I-value
等	O
内	O
容	O
。	O
