H	B-交易品种
股	I-交易品种
“	I-交易品种
全	I-交易品种
流	I-交易品种
通	I-交易品种
”	I-交易品种
业	O
务	O
涉	O
及	O
的	O
跨	B-value
境	I-value
转	I-value
登	I-value
记	I-value
、	O
存	B-value
管	I-value
和	I-value
持	I-value
有	I-value
明	I-value
细	I-value
维	I-value
护	I-value
、	O
交	B-value
易	I-value
委	I-value
托	I-value
与	I-value
指	I-value
令	I-value
传	I-value
递	I-value
、	O
结	B-value
算	I-value
、	O
结	B-value
算	I-value
参	I-value
与	I-value
人	I-value
管	I-value
理	I-value
、	O
名	B-value
义	I-value
持	I-value
有	I-value
人	I-value
服	I-value
务	I-value
等	O
相	B-key
关	I-key
业	I-key
务	I-key
适	O
用	O
本	O
细	O
则	O
。	O
本	O
细	O
则	O
未	O
作	O
规	O
定	O
的	O
，	O
参	O
照	O
中	B-系统
国	I-系统
结	I-系统
算	I-系统
及	O
中	B-系统
国	I-系统
证	I-系统
券	I-系统
登	I-系统
记	I-系统
结	I-系统
算	I-系统
（	I-系统
香	I-系统
港	I-系统
）	I-系统
有	I-系统
限	I-系统
公	I-系统
司	I-系统
（	O
以	O
下	O
简	O
称	O
中	B-系统
国	I-系统
结	I-系统
算	I-系统
香	I-系统
港	I-系统
）	O
、	O
深	B-系统
交	I-系统
所	I-系统
其	O
他	O
业	O
务	O
规	O
则	O
办	O
理	O
。	O
