创	B-交易品种
业	I-交易品种
板	I-交易品种
股	I-交易品种
票	I-交易品种
竞	O
价	O
交	O
易	O
出	O
现	O
下	O
列	O
情	O
形	O
之	O
一	O
的	O
，	O
属	O
于	O
盘	B-状态
中	I-状态
异	I-状态
常	I-状态
波	I-状态
动	I-状态
，	O
本	B-系统
所	I-系统
实	B-操作
施	I-操作
盘	B-操作部分
中	I-操作部分
临	I-操作部分
时	I-操作部分
停	I-操作部分
牌	I-操作部分
：	O
（	O
一	O
）	O
无	B-状态
价	I-状态
格	I-状态
涨	I-状态
跌	I-状态
幅	I-状态
限	I-状态
制	I-状态
的	O
股	B-价格
票	I-价格
盘	I-价格
中	I-价格
交	I-价格
易	I-价格
价	I-价格
格	I-价格
较	I-价格
当	I-价格
日	I-价格
开	I-价格
盘	I-价格
价	I-价格
格	I-价格
首	I-价格
次	I-价格
上	I-价格
涨	I-价格
或	I-价格
下	I-价格
跌	I-价格
达	I-价格
到	I-价格
或	I-价格
超	I-价格
过	I-价格
3	I-价格
0	I-价格
%	I-价格
的	O
；	O
（	O
二	O
）	O
无	B-状态
价	I-状态
格	I-状态
涨	I-状态
跌	I-状态
幅	I-状态
限	I-状态
制	I-状态
的	O
股	B-价格
票	I-价格
盘	I-价格
中	I-价格
交	I-价格
易	I-价格
价	I-价格
格	I-价格
较	I-价格
当	I-价格
日	I-价格
开	I-价格
盘	I-价格
价	I-价格
格	I-价格
首	I-价格
次	I-价格
上	I-价格
涨	I-价格
或	I-价格
下	I-价格
跌	I-价格
达	I-价格
到	I-价格
或	I-价格
超	I-价格
过	I-价格
6	I-价格
0	I-价格
%	I-价格
的	O
；	O
（	O
三	O
）	O
中	O
国	O
证	O
监	O
会	O
或	O
者	O
本	B-系统
所	I-系统
认	O
定	O
属	O
于	O
盘	B-状态
中	I-状态
异	I-状态
常	I-状态
波	I-状态
动	I-状态
的	O
其	O
他	O
情	O
形	O
。	O-操作部分
