可	B-状态
能	I-状态
影	I-状态
响	I-状态
债	I-状态
券	I-状态
交	I-状态
易	I-状态
价	I-状态
格	I-状态
或	I-状态
者	I-状态
债	I-状态
券	I-状态
交	I-状态
易	I-状态
量	I-状态
的	O
异	B-key
常	I-key
交	I-key
易	I-key
行	I-key
为	I-key
包	O
括	O
：	O
(	O
一	O
)	O
虚	O
假	O
申	B-操作
报	I-操作
，	O
即	O
不	O
以	O
成	O
交	O
为	O
目	O
的	O
，	O
通	O
过	O
大	O
量	O
申	B-操作
报	I-操作
并	O
撤	B-操作
销	I-操作
等	O
行	O
为	O
，	O
以	O
引	O
诱	O
、	O
误	O
导	O
或	O
者	O
影	O
响	O
其	O
他	O
债	B-操作人
券	I-操作人
投	I-操作人
资	I-操作人
者	I-操作人
正	O
常	O
交	O
易	O
决	O
策	O
；	O
(	O
二	O
)	O
拉	O
抬	O
打	O
压	O
，	O
即	O
大	B-操作
笔	I-操作
申	I-操作
报	I-操作
、	O
连	B-操作
续	I-操作
申	I-操作
报	I-操作
、	O
密	B-操作
集	I-操作
申	I-操作
报	I-操作
或	O
者	O
以	O
明	O
显	O
偏	B-op
离	I-op
债	B-交易品种
券	I-交易品种
最	B-价格
新	I-价格
成	I-价格
交	I-价格
价	I-价格
或	B-or
者	I-or
合	B-价格
理	I-价格
价	I-价格
值	I-价格
的	O
价	B-key
格	I-key
申	B-操作
报	I-操作
成	O
交	O
，	O
期	O
间	O
债	B-交易品种
券	I-交易品种
交	B-价格
易	I-价格
价	I-价格
格	I-价格
明	O
显	O
上	B-op
涨	I-op
或	B-or
者	I-or
下	B-op
跌	I-op
；	O
(	O
三	O
)	O
单	O
个	O
账	O
户	O
、	O
自	O
己	O
实	O
际	O
控	O
制	O
的	O
账	O
户	O
之	O
间	O
或	O
者	O
关	O
联	O
账	O
户	O
之	O
间	O
大	O
量	O
或	O
者	O
频	O
繁	O
进	O
行	O
自	O
买	O
自	O
卖	O
、	O
互	O
为	O
对	O
手	O
方	O
的	O
交	O
易	O
或	O
者	O
反	O
向	O
交	O
易	O
，	O
影	O
响	O
债	B-交易品种
券	I-交易品种
交	B-价格
易	I-价格
价	I-价格
格	I-价格
或	B-or
者	I-or
交	B-数量
易	I-数量
量	I-数量
；	O
(	O
四	O
)	O
通	O
过	O
计	O
算	O
机	O
程	O
序	O
自	O
动	O
生	O
成	O
或	O
者	O
下	O
达	O
交	O
易	O
指	O
令	O
进	O
行	O
程	O
序	O
化	O
交	O
易	O
，	O
影	O
响	O
本	B-系统
所	I-系统
系	O
统	O
安	O
全	O
或	O
者	O
正	O
常	O
交	O
易	O
秩	O
序	O
；	O
(	O
五	O
)	O
报	B-价格
价	I-价格
严	O
重	O
偏	B-op
离	I-op
市	B-价格
场	I-价格
合	I-价格
理	I-价格
价	I-价格
格	I-价格
，	O
以	O
引	O
诱	O
或	O
者	O
误	O
导	O
其	O
他	O
债	B-操作人
券	I-操作人
投	I-操作人
资	I-操作人
者	I-操作人
交	O
易	O
决	O
策	O
；	O
(	O
六	O
)	O
交	B-价格
易	I-价格
价	I-价格
格	I-价格
明	O
显	O
偏	B-op
离	I-op
最	B-价格
新	I-价格
成	I-价格
交	I-价格
价	I-价格
或	B-or
者	I-or
合	B-价格
理	I-价格
价	I-价格
值	I-价格
，	O
涉	O
嫌	O
通	O
过	O
债	O
券	O
交	O
易	O
进	O
行	O
利	O
益	O
输	O
送	O
；	O
(	O
七	O
)	O
在	O
债	B-交易品种
券	I-交易品种
价	B-时间
格	I-时间
敏	I-时间
感	I-时间
期	I-时间
内	I-时间
，	O
通	O
过	O
异	O
常	O
申	B-操作
报	I-操作
，	O
影	O
响	O
相	O
关	O
证	B-交易品种
券	I-交易品种
或	O
者	O
其	B-交易品种
衍	I-交易品种
生	I-交易品种
品	I-交易品种
的	O
交	B-价格
易	I-价格
价	I-价格
格	I-价格
、	B-or
结	B-价格
算	I-价格
价	I-价格
格	I-价格
或	B-or
者	I-or
参	B-价格
考	I-价格
价	I-价格
值	I-价格
；	O
(	O
八	O
)	O
对	O
单	O
一	O
债	B-交易品种
券	I-交易品种
在	O
一	B-时间
段	I-时间
时	I-时间
期	I-时间
内	I-时间
进	O
行	O
大	O
量	O
且	O
连	O
续	O
的	O
交	B-操作
易	I-操作
；	O
(	O
九	O
)	O
利	O
用	O
其	O
他	O
相	O
关	O
市	O
场	O
的	O
交	O
易	O
影	O
响	O
债	B-交易品种
券	I-交易品种
交	O
易	O
，	O
或	O
者	O
利	O
用	O
债	B-交易品种
券	I-交易品种
市	O
场	O
交	O
易	O
影	O
响	O
其	O
他	O
相	O
关	O
市	O
场	O
交	O
易	O
；	O
(	O
十	O
)	O
中	O
国	O
证	O
监	O
会	O
或	O
者	O
本	B-系统
所	I-系统
认	O
为	O
需	O
要	O
重	O
点	O
监	O
控	O
的	O
其	O
他	O
异	O
常	O
交	O
易	O
行	O
为	O
。	O
本	B-系统
所	I-系统
对	O
投	B-操作人
资	I-操作人
者	I-操作人
以	O
本	O
人	O
名	O
义	O
开	O
立	O
或	O
者	O
由	O
同	O
一	O
投	B-操作人
资	I-操作人
者	I-操作人
实	O
际	O
控	O
制	O
的	O
单	O
个	O
或	O
者	O
多	O
个	O
普	O
通	O
证	O
券	O
账	O
户	O
、	O
信	O
用	O
证	O
券	O
账	O
户	O
以	O
及	O
其	O
他	O
涉	O
嫌	O
关	O
联	O
的	O
证	O
券	O
账	O
户	O
（	O
组	O
）	O
进	O
行	O
合	B-操作
并	I-操作
监	I-操作
控	I-操作
。	O
