债	B-交易品种
券	I-交易品种
交	O
易	O
采	O
用	O
竞	B-交易方式
买	I-交易方式
成	I-交易方式
交	I-交易方式
方	O
式	O
，	O
或	B-or
者	I-or
采	O
用	O
其	B-交易方式
他	I-交易方式
交	I-交易方式
易	I-交易方式
方	I-交易方式
式	I-交易方式
并	O
以	O
多	B-value
边	I-value
净	I-value
额	I-value
结	I-value
算	I-value
方	I-value
式	I-value
结	O
算	O
的	O
，	O
经	B-事件
交	I-事件
易	I-事件
系	I-事件
统	I-事件
确	I-事件
认	I-事件
成	I-事件
交	I-事件
后	I-事件
不	B-结果
得	I-结果
解	B-操作
除	I-操作
交	B-操作部分
易	I-操作部分
或	B-or
者	I-or
改	B-操作
变	I-操作
交	B-操作部分
易	I-操作部分
结	I-操作部分
果	I-操作部分
，	O
但	O
存	O
在	O
本	B-结合规则
规	I-结合规则
则	I-结合规则
第	I-结合规则
8	I-结合规则
.	I-结合规则
1	I-结合规则
条	I-结合规则
规	O
定	O
的	O
情	O
形	O
除	B-结果
外	I-结果
。	O方式
采	I-交易方式
用	I-交易方式
点	I-交易方式
击	I-交易方式
成	O
交	O
、	B-value
询	I-value
价	I-value
成	I-value
交	I-value
、	I-value
协	I-value
商	I-value
成	O
交	O
方	O
式	O
并	B-事件
以	I-事件
逐	I-事件
笔	I-事件
全	I-事件
额	I-事件
结	I-事件
算	I-事件
方	I-事件
式	I-事件
结	B-结果
算	I-结果
的	B-操作
，	I-操作
出	B-操作部分
现	I-操作部分
因	B-or
不	I-or
可	B-操作
抗	I-操作
力	B-操作部分
、	I-操作部分
预	I-操作部分
期	I-操作部分
违	O
约	O
、	O
迟	O
延	B-结合规则
履	I-结合规则
行	I-结合规则
等	I-结合规则
情	I-结合规则
形	I-结合规则
导	I-结合规则
致	I-结合规则
交	O
易	O
目	O
的	O
无	O
法	B-结果
实	I-结果
现	O
或	O
者	O
交	B-交易方式
易	I-交易方式
不	I-交易方式
能	I-交易方式
继	O
续	B-交易方式
履	I-交易方式
行	I-交易方式
的	I-交易方式
，	O
在	B-交易方式
交	I-交易方式
收	I-交易方式
开	I-交易方式
始	O
前	O
，	O
交	O
易	B-value
双	I-value
方	I-value
协	I-value
商	I-value
一	I-value
致	I-value
后	I-value
，	O
可	O
以	O
解	O
除	O
相	O
关	O
交	B-事件
易	I-事件
。	I-事件
