会	B-操作人
员	I-操作人
应	O
当	O
对	O
其	B-操作部分
经	I-操作部分
纪	I-操作部分
客	I-操作部分
户	I-操作部分
的	I-操作部分
债	I-操作部分
券	I-操作部分
交	I-操作部分
易	I-操作部分
行	I-操作部分
为	I-操作部分
进	O
行	O
实	B-操作
时	I-操作
监	I-操作
控	I-操作
。	O
发	B-事件
现	I-事件
经	I-事件
纪	I-事件
客	I-事件
户	I-事件
交	I-事件
易	I-事件
行	I-事件
为	I-事件
存	I-事件
在	I-事件
异	I-事件
常	I-事件
的	O
，	O
应	O
当	O
及	O
时	O
予	B-操作
以	I-操作
告	I-操作
知	I-操作
、	I-操作
提	I-操作
醒	I-操作
、	I-操作
警	I-操作
示	I-操作
。	O
对	O
可	B-状态
能	I-状态
严	I-状态
重	I-状态
影	I-状态
响	I-状态
正	I-状态
常	I-状态
交	I-状态
易	I-状态
秩	I-状态
序	I-状态
的	I-状态
异	I-状态
常	I-状态
交	I-状态
易	I-状态
行	I-状态
为	I-状态
或	B-or
者	I-or
涉	B-状态
嫌	I-状态
违	I-状态
法	I-状态
违	I-状态
规	I-状态
的	I-状态
交	I-状态
易	I-状态
行	I-状态
为	I-状态
，	O
应	O
当	O
根	O
据	O
与	B-value
经	I-value
纪	I-value
客	I-value
户	I-value
之	I-value
间	I-value
的	I-value
交	I-value
易	I-value
委	I-value
托	I-value
代	I-value
理	I-value
协	I-value
议	I-value
拒	B-操作
绝	I-操作
接	I-操作
受	I-操作
其	O
委	B-操作部分
托	I-操作部分
，	O
并	O
及	O
时	O
向	O
本	B-系统
所	I-系统
报	O
告	O
。	O
