限	B-key
价	I-key
申	I-key
报	I-key
指	I-key
令	I-key
要	I-key
素	I-key
应	O
当	O
包	O
括	O
证	B-value
券	I-value
账	I-value
户	I-value
号	I-value
码	I-value
、	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
交	B-value
易	I-value
方	I-value
向	I-value
、	O
数	B-value
量	I-value
、	O
价	B-value
格	I-value
等	O
内	O
容	O
。	O
申	B-操作部分
报	I-操作部分
指	I-操作部分
令	I-操作部分
应	O
当	O
按	O
本	B-value
所	I-value
规	I-value
定	I-value
的	I-value
格	I-value
式	I-value
传	B-操作
送	I-操作
。	O
本	B-系统
所	I-系统
可	B-结果
以	I-结果
根	O
据	O
市	O
场	O
需	O
要	O
，	O
调	B-操作
整	I-操作
申	B-操作部分
报	I-操作部分
的	I-操作部分
内	I-操作部分
容	I-操作部分
。	O
