证	B-交易品种
券	I-交易品种
竞	B-交易方式
价	I-交易B-交易品种
交	I-交易品种
易	I-交易品种
单	I-交易品种
笔	I-交易品种
申	B-交易方式
报	I-交易方式
数	I-交易方式
量	I-交易方式
不	O
得	B-key
超	I-key
过	I-key
1	I-key
0	I-key
0	I-key
万	B-op
股	I-op
（	I-op
份	I-op
）	B-数量
。	I-数量
创	I-数量
业	I-数量
板	O
股	B-交易方式
票	I-交易方式
限	I-交易方式
价	I-交易方式
申	O
报	B-key
的	I-key
单	I-key
笔	I-key
申	I-key
报	I-key
数	B-op
量	I-op
不	I-op
得	I-op
超	B-数量
过	I-数量
3	I-数量
0	I-数量
万	Oy
股	I-key
，	B-op
市	I-op
价	I-op
申	I-op
报	B-数量
的	I-数量
单	I-数量
笔	I-数量
申	I-数量
报	I-数量
数	I-数量
量	I-数量
不	O方式
得	I-交易方式
超	I-交易方式
过	B-key
1	I-key
5	I-key
万	I-key
股	I-key
。	I-key
