红	B-事件
筹	I-事件
公	I-事件
司	I-事件
向	I-事件
本	I-事件
所	I-事件
申	I-事件
请	I-事件
其	I-事件
境	I-事件
内	I-事件
首	I-事件
次	I-事件
公	I-事件
开	I-事件
发	I-事件
行	I-事件
的	I-事件
股	I-事件
票	I-事件
或	I-事件
存	I-事件
托	I-事件
凭	I-事件
证	I-事件
在	I-事件
本	I-事件
所	I-事件
上	I-事件
市	I-事件
，	O
应	O
当	O
聘	B-操作
请	I-操作
境	B-操作部分
内	I-操作部分
保	I-操作部分
荐	I-操作部分
人	I-操作部分
、	I-操作部分
律	I-操作部分
师	I-操作部分
事	I-操作部分
务	I-操作部分
所	I-操作部分
、	I-操作部分
具	I-操作部分
有	I-操作部分
证	I-操作部分
券	I-操作部分
期	I-操作部分
货	I-操作部分
相	I-操作部分
关	I-操作部分
业	I-操作部分
务	I-操作部分
资	I-操作部分
格	I-操作部分
的	I-操作部分
会	I-操作部分
计	I-操作部分
师	I-操作部分
事	I-操作部分
务	I-操作部分
所	I-操作部分
等	I-操作部分
证	I-操作部分
券	I-操作部分
服	I-操作部分
务	I-操作部分
机	I-操作部分
构	I-操作部分
提	I-操作部分
供	I-操作部分
相	I-操作部分
关	I-操作部分
服	I-操作部分
务	I-操作部分
。	O
保	B-操作人
荐	I-操作人
人	I-操作人
及	I-操作人
其	I-操作人
保	I-操作人
荐	I-操作人
代	I-操作人
表	I-操作人
人	I-操作人
应	O
当	O
遵	B-操作
守	I-操作
本	B-操作部分
所	I-操作部分
上	I-操作部分
市	I-操作部分
保	I-操作部分
荐	I-操作部分
的	I-操作部分
相	I-操作部分
关	I-操作部分
规	I-操作部分
定	I-操作部分
。	O
境	B-操作人
内	I-操作人
保	I-操作人
荐	I-操作人
人	I-操作人
及	I-操作人
证	I-操作人
券	I-操作人
服	I-操作人
务	I-操作人
机	I-操作人
构	I-操作人
可	O
以	O
聘	B-操作
请	I-操作
境	B-操作部分
外	I-操作部分
机	I-操作部分
构	I-操作部分
协	B-操作
助	I-操作
其	B-操作部分
工	I-操作部分
作	I-操作部分
，	O
但	O
不	O
能	O
因	O
此	O
免	B-操作
除	I-操作
其	B-操作部分
依	I-操作部分
法	I-操作部分
应	I-操作部分
当	I-操作部分
承	I-操作部分
担	I-操作部分
的	I-操作部分
责	I-操作部分
任	I-操作部分
。	O
