基	B-交易品种
金	I-交易品种
份	I-交易品种
额	I-交易品种
竞	B-时间
价	I-时间
交	I-时间
易	I-时间
采	I-时间
用	I-时间
限	I-时间
价	I-时间
申	I-时间
报	I-时间
或	I-时间
者	I-时间
市	I-时间
价	I-时间
申	O
报	B-key
的	I-key
方	I-key
式	I-key
进	I-key
行	I-key
申	I-key
报	I-key
。	O
每	B-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
9	I-时间
︰	I-时间
1	I-时间
5	I-时间
至	I-时间
9	I-时间
︰	I-时间
2	I-时间
5	I-时间
为	I-时间
开	I-时间
盘	I-时间
集	I-时间
合	I-时间
竞	I-时间
价	I-时间
时	I-时间
间	O
，	B-key
9	I-key
︰	I-key
3	I-key
0	I-key
至	I-key
1	O
1	B-时间
︰	I-时间
3	I-时间
0	I-时间
、	I-时间
1	I-时间
3	I-时间
︰	I-时间
0	I-时间
0	I-时间
至	I-时间
1	O
4	B-key
︰	I-key
5	I-key
7	I-key
为	I-key
连	I-key
续	I-key
竞	I-key
价	O-value
时	I-value
间	I-value
，	I-value
1	O
4	B-key
︰	I-key
5	O
7	O
至	B-操作
1	I-操作
5	OB-交易方式
︰	I-交易方式
0	I-交易方式
0	I-交易方式
为	O
收	O
盘	B-value
集	I-value
合	I-value
竞	I-value
价	B-op
时	I-op
间	B-value
。	I-value
