连	B-key
续	I-key
竞	I-key
价	I-key
期	I-key
间	I-key
，	I-key
即	I-key
时	I-key
行	I-key
情	I-key
内	I-key
容	I-key
包	O
括	O
：	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
证	B-value
券	I-value
简	I-value
称	I-value
、	O
前	B-value
收	I-value
盘	I-value
价	I-value
、	O
最	B-value
近	I-value
成	I-value
交	I-value
价	I-value
、	O
当	B-value
日	I-value
最	I-value
高	I-value
价	I-value
、	O
当	B-value
日	I-value
最	I-value
低	I-value
价	I-value
、	O
当	B-value
日	I-value
累	I-value
计	I-value
成	I-value
交	I-value
数	I-value
量	I-value
、	O
当	B-value
日	I-value
累	I-value
计	I-value
成	I-value
交	I-value
金	I-value
额	I-value
、	O
实	B-value
时	I-value
最	I-value
高	I-value
五	I-value
个	I-value
价	I-value
位	I-value
买	I-value
入	I-value
申	I-value
报	I-value
价	I-value
和	I-value
数	I-value
量	I-value
、	O
实	B-value
时	I-value
最	I-value
低	I-value
五	I-value
个	I-value
价	I-value
位	I-value
卖	I-value
出	I-value
申	I-value
报	I-value
价	I-value
和	I-value
数	I-value
量	I-value
等	O
。	O
