业	B-key
务	I-key
协	I-key
议	I-key
应	O
当	O
对	O
股	B-value
票	I-value
质	I-value
押	I-value
式	I-value
回	I-value
购	I-value
交	I-value
易	I-value
、	O
标	B-value
的	I-value
证	I-value
券	I-value
、	O
初	B-value
始	I-value
交	I-value
易	I-value
金	I-value
额	I-value
、	O
购	B-value
回	I-value
交	I-value
易	I-value
金	I-value
额	I-value
、	O
初	B-value
始	I-value
交	I-value
易	I-value
日	I-value
、	O
购	B-value
回	I-value
交	I-value
易	I-value
日	I-value
、	O
回	B-value
购	I-value
期	I-value
限	I-value
、	O
到	B-value
期	I-value
购	I-value
回	I-value
、	O
提	B-value
前	I-value
购	I-value
回	I-value
、	O
延	B-value
期	I-value
购	I-value
回	I-value
、	O
补	B-value
充	I-value
质	I-value
押	I-value
、	O
部	B-value
分	I-value
解	I-value
除	I-value
质	I-value
押	I-value
、	O
终	B-value
止	I-value
购	I-value
回	I-value
、	O
违	B-value
约	I-value
处	I-value
置	I-value
、	O
履	B-value
约	I-value
保	I-value
障	I-value
比	I-value
例	I-value
、	O
预	B-value
警	I-value
线	I-value
、	O
平	B-value
仓	I-value
线	I-value
、	O
利	B-value
率	I-value
等	O
特	O
定	O
用	O
语	O
进	O
行	O
解	B-操作
释	I-操作
或	I-操作
定	I-操作
义	I-操作
，	O
并	O
符	O
合	O
深	B-系统
圳	I-系统
证	I-系统
券	I-系统
交	I-系统
易	I-系统
所	I-系统
（	O
以	O
下	O
简	O
称	O
深	B-系统
交	I-系统
所	I-系统
）	O
和	O
中	O
国	O
证	O
券	O
登	O
记	O
结	O
算	O
有	O
限	O
责	O
任	O
公	O
司	O
（	O
以	O
下	O
简	O
称	O
中	O
国	O
结	O
算	O
）	O
的	O
相	O
关	O
规	O
定	O
。	O
