以	B-事件
基	I-事件
础	I-事件
资	I-事件
产	I-事件
产	I-事件
生	I-事件
现	I-事件
金	I-事件
流	I-事件
循	I-事件
环	I-事件
购	I-事件
买	I-事件
新	I-事件
的	I-事件
同	I-事件
类	I-事件
基	I-事件
础	I-事件
资	I-事件
产	I-事件
方	I-事件
式	I-事件
组	I-事件
成	I-事件
专	I-事件
项	I-事件
计	I-事件
划	I-事件
资	I-事件
产	I-事件
的	O
，	O
管	B-操作人
理	I-操作人
人	I-操作人
应	O
当	O
设	B-操作
置	I-操作
适	B-操作部分
当	I-操作部分
的	I-操作部分
入	I-操作部分
池	I-操作部分
标	I-操作部分
准	I-操作部分
，	O
通	O
过	O
流	O
程	O
安	O
排	O
对	O
后	O
续	O
购	O
买	O
的	O
资	O
产	O
进	O
行	O
事	O
前	O
审	O
查	O
和	O
执	O
行	O
确	O
认	O
，	O
并	O
定	O
期	O
进	O
行	O
信	O
息	O
披	O
露	O
。	O
管	B-操作人
理	I-操作人
人	I-操作人
应	O
当	O
核	B-操作
实	I-操作
符	B-操作部分
合	I-操作部分
入	I-操作部分
池	I-操作部分
标	I-操作部分
准	I-操作部分
的	I-操作部分
资	I-操作部分
产	I-操作部分
规	I-操作部分
模	I-操作部分
是	I-操作部分
否	I-操作部分
满	I-操作部分
足	I-操作部分
循	I-操作部分
环	I-操作部分
购	I-操作部分
买	I-操作部分
要	I-操作部分
求	I-操作部分
，	O
在	O
合	O
格	O
资	O
产	O
规	O
模	O
不	O
足	O
时	O
及	O
时	O
进	O
行	O
信	O
息	O
披	O
露	O
并	O
采	O
取	O
风	O
险	O
缓	O
释	O
措	O
施	O
。	O
