普	B-事件
通	I-事件
投	I-事件
资	I-事件
者	I-事件
首	I-事件
次	I-事件
认	I-事件
购	I-事件
或	I-事件
买	I-事件
入	I-事件
基	I-事件
础	I-事件
设	I-事件
施	I-事件
基	I-事件
金	I-事件
份	I-事件
额	I-事件
前	O
，	O
基	B-操作人
金	I-操作人
管	I-操作人
理	I-操作人
人	I-操作人
、	I-操作人
本	I-操作人
所	I-操作人
会	I-操作人
员	I-操作人
应	O
当	O
要	O
求	O
其	O
以	O
纸	O
质	O
或	O
者	O
电	O
子	O
形	O
式	O
签	B-操作
署	I-操作
风	B-操作部分
险	I-操作部分
揭	I-操作部分
示	I-操作部分
书	I-操作部分
，	O
确	B-操作
认	I-操作
其	B-操作部分
了	I-操作部分
解	I-操作部分
基	I-操作部分
础	I-操作部分
设	I-操作部分
施	I-操作部分
基	I-操作部分
金	I-操作部分
产	I-操作部分
品	I-操作部分
特	I-操作部分
征	I-操作部分
及	I-操作部分
主	I-操作部分
要	I-操作部分
风	I-操作部分
险	I-操作部分
。	O
