中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
按	O
照	O
现	O
有	O
标	O
准	O
在	O
初	B-事件
始	I-事件
交	I-事件
易	I-事件
和	I-事件
补	I-事件
充	I-事件
质	I-事件
押	I-事件
时	I-事件
向	O
融	B-操作部分
入	I-操作部分
方	I-操作部分
收	B-操作
取	I-操作
质	I-操作
押	I-操作
登	I-操作
记	I-操作
费	I-操作
。	O
深	B-系统
交	I-系统
所	I-系统
按	O
照	O
每	B-key
笔	I-key
初	I-key
始	I-key
交	I-key
易	I-key
质	I-key
押	I-key
标	I-key
的	I-key
证	I-key
券	I-key
面	B-value
值	I-value
1	I-value
，	O
最	B-op
高	I-op
不	I-op
超	I-op
过	I-op
1	B-value
0	I-value
0	I-value
元	I-value
人	I-value
民	I-value
币	I-value
的	O
标	O
准	O
收	B-操作
取	I-操作
交	B-操作部分
易	I-操作部分
经	I-操作部分
手	I-操作部分
费	I-操作部分
。	O
