未	B-事件
了	I-事件
结	I-事件
相	I-事件
关	I-事件
融	I-事件
券	I-事件
交	I-事件
易	I-事件O
前	O
，	O
投	B-value
资	I-value
者	I-value
融	I-vO
券	O
卖	O
出	B-value
所	I-value
得	I-value
价	I-value
款	I-value
除	I-value
下	I-value
列	I-value
用	I-value
途	I-valB-操作人
外	I-操作人
，	B-结果
不	I-结果
得	O
另	O
作	O
他	O
用	O
：	O
（	O
一	O
）	B-操作人
买	I-操作人
券	I-操作人
还	B-结果
券	I-结果
。	B-操作
（	I-操作
二	B-or
）	I-or
偿	B-操作
还	I-操作
融	O
资	O
融	O
券	O
交	O
易	O
相	O
关	Olue
利	I-value
息	I-value
、	I-value
费	I-value
用	I-value
或	I-value
者	I-value
融	I-value
券	I-value
交	O
易	O
相	O
关	B-value
权	I-value
益	I-value
现	I-value
金	I-value
补	I-value
偿	I-value
。	I-value
（	I-value
三	I-value
）	I-value
买	I-value
入	I-value
或	I-value
者	I-value
申	I-value
购	I-value
证	I-value
券	I-value
公	I-value
司	I-value
现	I-value
金	I-value
管	I-value
理	I-value
产	I-value
品	I-value
、	I-value
货	I-value
币	I-value
市	I-value
场	I-value
基	I-value
金	I-value
，	I-value
以	I-value
及	I-value
买	I-value
入	I-value
在	I-value
本	I-value
所	I-value
上	I-value
市	I-value
的	I-value
债	I-value
券	I-value
交	I-value
易	I-value
型	I-value
开	I-value
放	I-value
式	I-value
基	Oe
金	I-value
（	I-value
跟	I-value
踪	I-value
指	I-value
数	I-value
成	I-value
份	I-value
证	I-value
券	I-value
含	I-value
可	I-value
转	I-value
换	I-value
公	I-value
司	OB-key
债	I-key
券	O
的	O
除	O
外	O
）	O
、	O
本	O
所	O
认	O
可	O
的	O
其	O
他	B-value
高	I-value
流	I-value
动	I-value
性	O
证	I-事件
券	O
。	B-操作人
会	I-操作人
员	I-操作人
可	B-交易品种
以	I-交易品种
根	B-操作
据	I-操作
市	O
场	O
情	O
况	O
调	O
整	O
投	O
资	B-key
者	I-key
可	O
以	O
买	O
入	O
或	O
者	O
申	O
购	O
的	O
前	O
述	O
资	O
产	B-value
名	I-value
单	I-value
。	I-value
（	O
四	O
）	O
证	O
监	B-value
会	I-value
及	I-value
本	I-value
所	I-value
规	I-value
定	I-value
的	I-value
其	I-value
他	I-value
用	I-value
途	I-value
。	I-value
