港	B-交易方式
股	I-交易方式
通	I-交易方式
交	I-交易方式
易	I-交易方式
通	O
过	O
联	B-value
交	I-value
所	I-value
自	I-value
动	I-value
对	I-value
盘	I-value
系	I-value
统	I-value
进	O
行	O
，	O
但	O
投	B-操作部分
资	I-操作部分
者	I-操作部分
持	I-操作部分
有	I-操作部分
的	I-操作部分
碎	I-操作部分
股	I-操作部分
只	O
能	O
通	O
过	O
联	B-value
交	I-value
所	I-value
半	I-value
自	I-value
动	I-value
对	I-value
盘	I-value
碎	I-value
股	I-value
交	I-value
易	I-value
系	I-value
统	I-value
卖	B-操作
出	I-操作
。	O
投	B-操作人
资	I-操作人
者	I-操作人
参	B-操作
与	I-操作
联	B-操作部分
交	I-操作部分
所	I-操作部分
自	I-操作部分
动	I-操作部分
对	I-操作部分
盘	I-操作部分
系	I-操作部分
统	I-操作部分
交	I-操作部分
易	I-操作部分
，	O
在	O
联	B-时间
交	I-时间
所	I-时间
开	I-时间
市	I-时间
前	I-时间
时	I-时间
段	I-时间
和	O
收	B-时间
市	I-时间
竞	I-时间
价	I-时间
交	I-时间
易	I-时间
时	I-时间
段	I-时间
应	O
当	O
采	O
用	O
竞	B-value
价	I-value
限	I-value
价	I-value
盘	I-value
委	B-操作
托	I-操作
，	O
在	O
联	B-时间
交	I-时间
所	I-时间
持	I-时间
续	I-时间
交	I-时间
易	I-时间
时	I-时间
段	I-时间
应	O
当	O
采	O
用	O
增	B-value
强	I-value
限	I-value
价	I-value
盘	I-value
委	B-操作
托	I-操作
。	O
