每	B-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
日	I-时间
终	I-时间
，	O
中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
深	I-操作人
圳	I-操作人
分	I-操作人
公	I-操作人
司	I-操作人
根	O
据	O
深	B-value
交	I-value
所	I-value
确	I-value
认	I-value
的	I-value
股	I-value
票	I-value
质	I-value
押	I-value
回	I-value
购	I-value
交	I-value
易	I-value
数	I-value
据	I-value
，	O
组	B-操作
织	I-操作
交	B-操作部分
易	I-操作部分
双	I-操作部分
方	I-操作部分
结	I-操作部分
算	I-操作部分
参	I-操作部分
与	I-操作部分
人	I-操作部分
的	I-操作部分
逐	I-操作部分
笔	I-操作部分
全	I-操作部分
额	I-操作部分
结	I-操作部分
算	I-操作部分
,	O
并	O
办	B-操作
理	I-操作
相	B-操作部分
应	I-操作部分
证	I-操作部分
券	I-操作部分
的	I-操作部分
质	I-操作部分
押	I-操作部分
登	I-操作部分
记	I-操作部分
或	I-操作部分
解	I-操作部分
除	I-操作部分
质	I-操作部分
押	I-操作部分
登	I-操作部分
记	I-操作部分
。	O
证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
负	B-操作
责	I-操作
证	B-操作部分
券	I-操作部分
公	I-操作部分
司	I-操作部分
与	I-操作部分
客	I-操作部分
户	I-操作部分
之	I-操作部分
间	I-操作部分
的	I-操作部分
资	I-操作部分
金	I-操作部分
结	I-操作部分
算	I-操作部分
，	O
托	B-操作人
管	I-操作人
机	I-操作人
构	I-操作人
负	B-操作
责	I-操作
托	B-操作部分
管	I-操作部分
机	I-操作部分
构	I-操作部分
与	I-操作部分
所	I-操作部分
托	I-操作部分
管	I-操作部分
集	I-操作部分
合	I-操作部分
资	I-操作部分
产	I-操作部分
管	I-操作部分
理	I-操作部分
计	I-操作部分
划	I-操作部分
或	I-操作部分
定	I-操作部分
向	I-操作部分
资	I-操作部分
产	I-操作部分
管	I-操作部分
理	I-操作部分
客	I-操作部分
户	I-操作部分
之	I-操作部分
间	I-操作部分
的	I-操作部分
资	I-操作部分
金	I-操作部分
结	I-操作部分
算	I-操作部分
。	O
