除	B-时间
上	I-时间
市	I-时间
首	I-时间
日	I-时间
外	I-时间
，	O
向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
的	O
价	B-key
格	I-key
涨	I-key
跌	I-key
幅	I-key
限	I-key
制	I-key
比	I-key
例	I-key
为	O
2	B-value
0	I-value
%	I-value
。	O
涨	O
跌	O
幅	O
限	O
制	O
价	O
格	O
的	O
计	O
算	O
公	O
式	O
为	O
：	O
涨	B-key
跌	I-key
幅	I-key
限	I-key
制	I-key
价	I-key
格	I-key
=	B-op
前	B-价格
收	I-价格
盘	I-价格
价	I-价格
×	I-价格
（	I-价格
1	I-价格
±	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
比	I-价格
例	I-价格
）	I-价格
。	O
计	B-key
算	I-key
结	I-key
果	I-key
按	O
照	O
四	B-value
舍	I-value
五	I-value
入	I-value
原	I-value
则	I-value
取	O
至	O
价	B-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
。	O
涨	B-key
跌	I-key
幅	I-key
限	I-key
制	I-key
价	I-key
格	I-key
与	I-key
前	I-key
收	I-key
盘	I-key
价	I-key
之	I-key
差	I-key
的	I-key
绝	I-key
对	I-key
值	I-key
低	B-op
于	I-op
申	B-价格
报	I-价格
价	I-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
的	O
，	O
以	O
前	B-价格
收	I-价格
盘	I-价格
价	I-价格
增	I-价格
减	I-价格
一	I-价格
个	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
计	O
算	O
相	B-key
应	I-key
价	I-key
格	I-key
。	O
涨	B-key
跌	I-key
幅	I-key
限	I-key
制	I-key
价	I-key
格	I-key
低	B-op
于	I-op
申	B-价格
报	I-价格
价	I-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
的	O
，	O
以	O
申	B-价格
报	I-价格
价	I-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
作	O
为	O
相	B-key
应	I-key
价	I-key
格	I-key
。	O
