专	B-事件
项	I-事件
计	I-事件
划	I-事件
存	I-事件
续	I-事件
期	I-事件
间	I-事件
出	I-事件
现	I-事件
下	I-事件
列	I-事件
情	I-事件
形	I-事件
之	I-事件
一	I-事件
的	O
，	O
本	B-系统
所	I-系统
可	O
以	O
对	O
资	B-交易品种
产	I-交易品种
支	I-交易品种
持	I-交易品种
证	I-交易品种
券	I-交易品种
进	O
行	O
停	B-操作
牌	I-操作
处	I-操作
理	I-操作
：	O
（	O
一	O
）	O
《	O
信	O
息	O
披	O
露	O
指	O
引	O
》	O
第	O
十	O
九	O
条	O
所	O
列	O
情	O
形	O
之	O
一	O
的	O
；	O
（	O
二	O
）	O
资	B-交易品种
产	I-交易品种
支	I-交易品种
持	I-交易品种
证	I-交易品种
券	I-交易品种
转	B-状态
让	I-状态
价	I-状态
格	I-状态
异	I-状态
常	I-状态
波	I-状态
动	I-状态
的	O
；	O
（	O
三	O
）	O
本	B-系统
所	I-系统
认	O
为	O
需	O
要	O
停	O
牌	O
的	O
其	O
他	O
情	O
形	O
。	O
前	O
款	O
规	O
定	O
所	O
列	O
相	O
关	O
情	O
形	O
消	O
除	O
后	O
，	O
本	B-系统
所	I-系统
可	O
以	O
视	O
情	O
况	O
复	O
牌	O
。	O
