已	B-状态
在	I-状态
境	I-状态
外	I-状态
上	I-状态
市	I-状态
红	I-状态
筹	I-状态
公	I-状态
司	I-状态
在	I-状态
境	I-状态
外	I-状态
上	I-状态
市	I-状态
地	I-状态
被	I-状态
要	I-状态
求	I-状态
停	I-状态
牌	I-状态
或	I-状态
者	I-状态
被	I-状态
暂	I-状态
停	I-状态
上	I-状态
市	I-状态
、	I-状态
终	I-状态
止	I-状态
上	I-状态
市	I-状态
的	O
，	O
应	O
当	O
及	B-操作
时	I-操作
通	I-操作
知	I-操作
本	B-操作部分
所	I-操作部分
，	O
并	O
进	B-操作
行	I-操作
披	I-操作
露	I-操作
，	O
本	B-系统
所	I-系统
视	O
情	O
况	O
予	B-操作
以	I-操作
处	I-操作
理	I-操作
。	O
为	O
保	B-操作
证	I-操作
信	B-操作部分
息	I-操作部分
披	I-操作部分
露	I-操作部分
的	I-操作部分
及	I-操作部分
时	I-操作部分
、	I-操作部分
公	I-操作部分
平	I-操作部分
，	I-操作部分
本	I-操作部分
所	I-操作部分
可	I-操作部分
以	I-操作部分
根	I-操作部分
据	I-操作部分
公	I-操作部分
司	I-操作部分
申	I-操作部分
请	I-操作部分
或	I-操作部分
者	I-操作部分
实	I-操作部分
际	I-操作部分
情	I-操作部分
况	I-操作部分
，	O
决	B-操作
定	I-操作
公	B-操作部分
司	I-操作部分
境	I-操作部分
内	I-操作部分
股	I-操作部分
票	I-操作部分
或	I-操作部分
者	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
的	I-操作部分
停	I-操作部分
牌	I-操作部分
与	I-操作部分
复	I-操作部分
牌	I-操作部分
事	I-操作部分
宜	I-操作部分
。	O
