境	B-操作人
内	I-操作人
创	I-操作人
新	I-操作人
公	I-操作人
司	I-操作人
进	B-状态
行	I-状态
重	I-状态
大	I-状态
收	I-状态
购	I-状态
或	I-状态
资	I-状态
产	I-状态
处	I-状态
置	I-状态
等	I-状态
交	I-状态
易	I-状态
或	I-状态
者	I-状态
其	I-状态
他	I-状态
安	I-状态
排	I-状态
，	I-状态
可	I-状态
能	I-状态
导	I-状态
致	I-状态
公	I-状态
司	I-状态
业	I-状态
务	I-状态
构	I-状态
成	I-状态
发	I-状态
生	I-状态
重	I-状态
大	I-状态
变	I-状态
化	I-状态
的	O
，	O
应	O
当	O
及	B-操作
时	I-操作
披	I-操作
露	I-操作
以	B-操作部分
下	I-操作部分
事	I-操作部分
项	I-操作部分
，	O
并	O
履	B-操作
行	I-操作
相	B-操作部分
应	I-操作部分
审	I-操作部分
议	I-操作部分
程	I-操作部分
序	I-操作部分
：	O
（	O
一	O
）	O
原	B-value
业	I-value
务	I-value
构	I-value
成	I-value
的	I-value
基	I-value
本	I-value
情	I-value
况	I-value
；	O
（	O
二	O
）	O
业	B-value
务	I-value
构	I-value
成	I-value
变	I-value
化	I-value
的	I-value
具	I-value
体	I-value
原	I-value
因	I-value
、	I-value
合	I-value
理	I-value
性	I-value
，	O
以	O
及	O
可	B-value
能	I-value
给	I-value
公	I-value
司	I-value
带	I-value
来	I-value
的	I-value
影	I-value
响	I-value
；	O
（	O
三	O
）	O
新	B-value
增	I-value
业	I-value
务	I-value
的	I-value
基	I-value
本	I-value
情	I-value
况	I-value
、	I-value
可	I-value
行	I-value
性	I-value
分	I-value
析	I-value
和	I-value
风	I-value
险	I-value
提	I-value
示	I-value
；	O
（	O
四	O
）	O
新	B-value
业	I-value
务	I-value
所	I-value
依	I-value
赖	I-value
的	I-value
技	I-value
术	I-value
、	I-value
研	I-value
发	I-value
进	I-value
展	I-value
和	I-value
商	I-value
业	I-value
化	I-value
情	I-value
况	I-value
；	O
（	O
五	O
）	O
新	B-value
增	I-value
业	I-value
务	I-value
已	I-value
经	I-value
取	I-value
得	I-value
或	I-value
者	I-value
尚	I-value
待	I-value
有	I-value
关	I-value
部	I-value
门	I-value
审	I-value
批	I-value
的	I-value
说	I-value
明	I-value
（	I-value
如	I-value
适	I-value
用	I-value
）	I-value
;	O
（	O
六	O
）	O
独	B-value
立	I-value
董	I-value
事	I-value
、	I-value
监	I-value
事	I-value
会	I-value
、	I-value
保	I-value
荐	I-value
人	I-value
对	I-value
公	I-value
司	I-value
业	I-value
务	I-value
构	I-value
成	I-value
重	I-value
大	I-value
变	I-value
化	I-value
的	I-value
意	I-value
见	I-value
；	O
（	O
七	O
）	O
本	B-value
所	I-value
或	I-value
公	I-value
司	I-value
认	I-value
为	I-value
需	I-value
要	I-value
披	I-value
露	I-value
的	I-value
其	I-value
他	I-value
重	I-value
要	I-value
内	I-value
容	I-value
。	O
