股	B-时间
票	I-时间
质	I-时间
押	I-时间
回	I-时间
购	I-时间
开	I-时间
展	I-时间
过	I-时间
程	I-时间
中	I-时间
，	O
因	O
不	B-事件
可	I-事件
抗	I-事件
力	I-事件
、	I-事件
意	I-事件
外	I-事件
事	I-事件
件	I-事件
、	I-事件
系	I-事件
统	I-事件
故	I-事件
障	I-事件
等	I-事件
交	I-事件
易	I-事件
异	I-事件
常	I-事件
情	I-事件
况	I-事件
及	O
深	B-事件
交	I-事件
所	I-事件
和	I-事件
中	I-事件
国	I-事件
结	I-事件
算	I-事件
深	I-事件
圳	I-事件
分	I-事件
公	I-事件
司	I-事件
采	I-事件
取	I-事件
相	I-事件
应	I-事件
措	I-事件
施	I-事件
造	O
成	O
的	O
损	O
失	O
，	O
深	B-操作人
交	I-操作人
所	I-操作人
和	O
中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
及	I-操作人
其	I-操作人
深	I-操作人
圳	I-操作人
分	I-操作人
公	I-操作人
司	I-操作人
不	B-操作
承	I-操作
担	I-操作
任	B-操作部分
何	I-操作部分
责	I-操作部分
任	I-操作部分
。	O
