个	B-状态
人	I-状态
或	I-状态
者	I-状态
机	I-状态
构	I-状态
客	I-状态
户	I-状态
持	I-状态
有	I-状态
上	I-状态
市	I-状态
公	I-状态
司	I-状态
限	I-状态
售	I-状态
股	I-状态
份	I-状态
的	O
，	O
会	B-操作人
员	I-操作人
不	B-操作
得	I-操作
接	I-操作
受	I-操作
其	B-操作部分
融	I-操作部分
券	I-操作部分
卖	I-操作部分
出	I-操作部分
该	I-操作部分
上	I-操作部分
市	I-操作部分
公	I-操作部分
司	I-操作部分
股	I-操作部分
份	I-操作部分
，	O
也	O
不	B-操作
得	I-操作
接	I-操作
受	I-操作
其	B-操作部分
以	I-操作部分
普	I-操作部分
通	I-操作部分
证	I-操作部分
券	I-操作部分
账	I-操作部分
户	I-操作部分
持	I-操作部分
有	I-操作部分
的	I-操作部分
限	I-操作部分
售	I-操作部分
股	I-操作部分
份	I-操作部分
充	I-操作部分
抵	I-操作部分
保	I-操作部分
证	I-操作部分
金	I-操作部分
。	O
参	B-操作人
与	I-操作人
注	I-操作人
册	I-操作人
制	I-操作人
下	I-操作人
首	I-操作人
次	I-操作人
公	I-操作人
开	I-操作人
发	I-操作人
行	I-操作人
股	I-操作人
票	I-操作人
战	I-操作人
略	I-操作人
配	I-操作人
售	I-操作人
的	I-操作人
投	I-操作人
资	I-操作人
者	I-操作人
及	O
其	O
关	B-操作人
联	I-操作人
方	I-操作人
，	O
在	B-时间
参	I-时间
与	I-时间
战	I-时间
略	I-时间
配	I-时间
售	I-时间
的	I-时间
投	I-时间
资	I-时间
者	I-时间
承	I-时间
诺	I-时间
持	I-时间
有	I-时间
期	I-时间
限	I-时间
内	I-时间
，	O
不	B-操作
得	I-操作
融	I-操作
券	I-操作
卖	I-操作
出	I-操作
该	B-操作部分
上	I-操作部分
市	I-操作部分
公	I-操作部分
司	I-操作部分
股	I-操作部分
票	I-操作部分
，	O
本	B-系统
所	I-系统
另	O
有	O
规	O
定	O
的	O
除	O
外	O
。	O
会	B-操作人
员	I-操作人
不	O
得	O
以	O
其	O
普	O
通	O
证	O
券	O
账	O
户	O
持	O
有	O
的	O
限	O
售	O
股	O
份	O
提	O
交	O
作	O
为	O
融	O
券	O
券	O
源	O
。	O
