交	B-操作人
易	I-操作人
各	I-操作人
方	I-操作人
应	O
当	O
在	O
《	B-value
业	I-value
务	I-value
协	I-value
议	I-value
》	I-value
中	O
约	B-操作
定	I-操作
质	B-交易品种
押	I-交易品种
标	I-交易品种
的	I-交易品种
证	I-交易品种
券	I-交易品种
、	O
相	B-value
应	I-value
孳	I-value
息	I-value
和	O
补	B-value
充	I-value
其	I-value
他	I-value
担	I-value
保	I-value
物	I-value
的	O
担	B-操作部分
保	I-操作部分
范	I-操作部分
围	I-操作部分
，	O
以	O
及	O
处	B-value
置	I-value
方	I-value
式	I-value
、	O
处	B-value
置	I-value
所	I-value
得	I-value
的	I-value
偿	I-value
还	I-value
顺	I-value
序	I-value
等	O
具	B-操作部分
体	I-操作部分
内	I-操作部分
容	I-操作部分
。	O
