约	B-时间
定	I-时间
购	I-时间
回	I-时间
式	I-时间
证	I-时间
券	I-时间
交	I-时间
易	I-时间
开	I-时间
展	I-时间
过	I-时间
程	I-时间
中	I-时间
，	O
因	O
不	B-value
可	I-value
抗	I-value
力	I-value
、	O
意	B-value
外	I-value
事	I-value
件	I-value
、	O
系	B-value
统	I-value
故	I-value
障	I-value
等	O
交	O
易	O
异	O
常	O
情	O
况	O
及	O
深	B-系统
交	I-系统
所	I-系统
和	O
中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
深	I-操作人
圳	I-操作人
分	I-操作人
公	I-操作人
司	I-操作人
因	O
交	B-value
易	I-value
异	I-value
常	I-value
情	I-value
况	I-value
采	B-操作
取	I-操作
相	I-操作
应	I-操作
措	I-操作
施	I-操作
造	B-value
成	I-value
的	I-value
损	I-value
失	I-value
，	O
深	B-系统
交	I-系统
所	I-系统
和	O
中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
及	I-操作人
其	I-操作人
深	I-操作人
圳	I-操作人
分	I-操作人
公	I-操作人
司	I-操作人
不	B-操作
承	I-操作
担	I-操作
责	B-操作部分
任	I-操作部分
。	O
