Some weights of the model checkpoint at ../model/mengzi-bert-base-fin were not used when initializing BertForTokenClassification: ['cls.predictions.transform.dense.weight', 'sop.cls.bias', 'cls.predictions.bias', 'pos_head.bias', 'pos_transform.dense.bias', 'cls.predictions.transform.dense.bias', 'sop.cls.weight', 'pos_transform.dense.weight', 'pos_transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.bias', 'pos_transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'pos_head.weight']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at ../model/mengzi-bert-base-fin and are newly initialized: ['classifier.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
{'loss': 1.3515, 'learning_rate': 9.999802772813583e-06, 'epoch': 0.08}
{'loss': 0.438, 'learning_rate': 9.999211106813752e-06, 'epoch': 0.17}
{'loss': 0.4051, 'learning_rate': 9.99822504867756e-06, 'epoch': 0.25}
{'loss': 0.3726, 'learning_rate': 9.996844676195996e-06, 'epoch': 0.34}
{'loss': 0.3297, 'learning_rate': 9.995070098267848e-06, 'epoch': 0.42}
{'loss': 0.3303, 'learning_rate': 9.992901454891123e-06, 'epoch': 0.51}
{'loss': 0.3091, 'learning_rate': 9.990338917151994e-06, 'epoch': 0.59}
{'loss': 0.2864, 'learning_rate': 9.987382687211302e-06, 'epoch': 0.68}
{'loss': 0.2722, 'learning_rate': 9.984032998288617e-06, 'epoch': 0.76}
{'loss': 0.2503, 'learning_rate': 9.980290114643823e-06, 'epoch': 0.85}
{'loss': 0.246, 'learning_rate': 9.976154331556287e-06, 'epoch': 0.93}
{'eval_loss': 0.23215733468532562, 'eval_runtime': 10.6276, 'eval_samples_per_second': 142.835, 'eval_steps_per_second': 17.878, 'epoch': 1.0}
{'loss': 0.2356, 'learning_rate': 9.971625975301553e-06, 'epoch': 1.02}
{'loss': 0.2243, 'learning_rate': 9.966705403125607e-06, 'epoch': 1.1}
{'loss': 0.228, 'learning_rate': 9.961393003216689e-06, 'epoch': 1.19}
{'loss': 0.2186, 'learning_rate': 9.955689194674675e-06, 'epoch': 1.27}
{'loss': 0.2062, 'learning_rate': 9.949594427478014e-06, 'epoch': 1.36}
{'loss': 0.21, 'learning_rate': 9.943109182448211e-06, 'epoch': 1.44}
{'loss': 0.2, 'learning_rate': 9.936233971211926e-06, 'epoch': 1.53}
{'loss': 0.193, 'learning_rate': 9.928969336160583e-06, 'epoch': 1.61}
{'loss': 0.19, 'learning_rate': 9.921315850407593e-06, 'epoch': 1.7}
{'loss': 0.1851, 'learning_rate': 9.913274117743146e-06, 'epoch': 1.78}
{'loss': 0.1834, 'learning_rate': 9.90484477258656e-06, 'epoch': 1.87}
{'loss': 0.1774, 'learning_rate': 9.896028479936249e-06, 'epoch': 1.95}
{'eval_loss': 0.17218294739723206, 'eval_runtime': 10.6325, 'eval_samples_per_second': 142.77, 'eval_steps_per_second': 17.87, 'epoch': 2.0}
{'loss': 0.1686, 'learning_rate': 9.886825935317248e-06, 'epoch': 2.04}
{'loss': 0.1672, 'learning_rate': 9.877237864726353e-06, 'epoch': 2.12}
{'loss': 0.1685, 'learning_rate': 9.867265024574835e-06, 'epoch': 2.21}
{'loss': 0.1579, 'learning_rate': 9.85690820162878e-06, 'epoch': 2.29}
{'loss': 0.158, 'learning_rate': 9.846168212947007e-06, 'epoch': 2.37}
{'loss': 0.1576, 'learning_rate': 9.835045905816612e-06, 'epoch': 2.46}
{'loss': 0.1534, 'learning_rate': 9.823542157686135e-06, 'epoch': 2.54}
{'loss': 0.1556, 'learning_rate': 9.811657876096328e-06, 'epoch': 2.63}
{'loss': 0.1524, 'learning_rate': 9.799393998608555e-06, 'epoch': 2.71}
{'loss': 0.1551, 'learning_rate': 9.78675149273084e-06, 'epoch': 2.8}
{'loss': 0.1521, 'learning_rate': 9.773731355841527e-06, 'epoch': 2.88}
{'loss': 0.1416, 'learning_rate': 9.760334615110603e-06, 'epoch': 2.97}
{'eval_loss': 0.1490037590265274, 'eval_runtime': 10.6434, 'eval_samples_per_second': 142.623, 'eval_steps_per_second': 17.851, 'epoch': 3.0}
{'loss': 0.143, 'learning_rate': 9.74656232741866e-06, 'epoch': 3.05}
{'loss': 0.1379, 'learning_rate': 9.732415579273518e-06, 'epoch': 3.14}
{'loss': 0.1361, 'learning_rate': 9.717895486724514e-06, 'epoch': 3.22}
{'loss': 0.1393, 'learning_rate': 9.703003195274444e-06, 'epoch': 3.31}
{'loss': 0.1346, 'learning_rate': 9.687739879789204e-06, 'epoch': 3.39}
{'loss': 0.1358, 'learning_rate': 9.672106744405107e-06, 'epoch': 3.48}
{'loss': 0.1334, 'learning_rate': 9.65610502243387e-06, 'epoch': 3.56}
{'loss': 0.1345, 'learning_rate': 9.63973597626534e-06, 'epoch': 3.65}
{'loss': 0.1271, 'learning_rate': 9.623000897267875e-06, 'epoch': 3.73}
{'loss': 0.1298, 'learning_rate': 9.605901105686503e-06, 'epoch': 3.82}
{'loss': 0.1311, 'learning_rate': 9.588437950538734e-06, 'epoch': 3.9}
{'loss': 0.1267, 'learning_rate': 9.570612809508148e-06, 'epoch': 3.99}
{'eval_loss': 0.13341616094112396, 'eval_runtime': 10.6386, 'eval_samples_per_second': 142.688, 'eval_steps_per_second': 17.86, 'epoch': 4.0}
{'loss': 0.1183, 'learning_rate': 9.552427088835713e-06, 'epoch': 4.07}
{'loss': 0.1209, 'learning_rate': 9.533882223208836e-06, 'epoch': 4.16}
{'loss': 0.1191, 'learning_rate': 9.514979675648184e-06, 'epoch': 4.24}
{'loss': 0.1187, 'learning_rate': 9.495720937392268e-06, 'epoch': 4.33}
{'loss': 0.1199, 'learning_rate': 9.47610752777979e-06, 'epoch': 4.41}
{'loss': 0.1194, 'learning_rate': 9.456140994129787e-06, 'epoch': 4.5}
{'loss': 0.1182, 'learning_rate': 9.435822911619564e-06, 'epoch': 4.58}
{'loss': 0.1142, 'learning_rate': 9.415154883160417e-06, 'epoch': 4.66}
{'loss': 0.1139, 'learning_rate': 9.39413853927119e-06, 'epoch': 4.75}
{'loss': 0.1179, 'learning_rate': 9.372775537949628e-06, 'epoch': 4.83}
{'loss': 0.1176, 'learning_rate': 9.351067564541592e-06, 'epoch': 4.92}
{'eval_loss': 0.1278521567583084, 'eval_runtime': 10.6382, 'eval_samples_per_second': 142.693, 'eval_steps_per_second': 17.86, 'epoch': 5.0}
{'loss': 0.1146, 'learning_rate': 9.329016331608087e-06, 'epoch': 5.0}
{'loss': 0.1113, 'learning_rate': 9.306623578790165e-06, 'epoch': 5.09}
{'loss': 0.1073, 'learning_rate': 9.283891072671683e-06, 'epoch': 5.17}
{'loss': 0.1048, 'learning_rate': 9.260820606639924e-06, 'epoch': 5.26}
{'loss': 0.1125, 'learning_rate': 9.237414000744134e-06, 'epoch': 5.34}
{'loss': 0.105, 'learning_rate': 9.213673101551923e-06, 'epoch': 5.43}
{'loss': 0.1072, 'learning_rate': 9.189599782003588e-06, 'epoch': 5.51}
{'loss': 0.1061, 'learning_rate': 9.165195941264366e-06, 'epoch': 5.6}
{'loss': 0.1044, 'learning_rate': 9.140463504574593e-06, 'epoch': 5.68}
{'loss': 0.1056, 'learning_rate': 9.115404423097831e-06, 'epoch': 5.77}
{'loss': 0.107, 'learning_rate': 9.090020673766931e-06, 'epoch': 5.85}
{'loss': 0.1015, 'learning_rate': 9.064314259128082e-06, 'epoch': 5.94}
{'eval_loss': 0.11764901131391525, 'eval_runtime': 10.6362, 'eval_samples_per_second': 142.72, 'eval_steps_per_second': 17.864, 'epoch': 6.0}
{'loss': 0.102, 'learning_rate': 9.038287207182813e-06, 'epoch': 6.02}
{'loss': 0.0988, 'learning_rate': 9.011941571228015e-06, 'epoch': 6.11}
{'loss': 0.0962, 'learning_rate': 8.985279429693949e-06, 'epoch': 6.19}
{'loss': 0.1006, 'learning_rate': 8.958302885980282e-06, 'epoch': 6.28}
{'loss': 0.1008, 'learning_rate': 8.931014068290139e-06, 'epoch': 6.36}
{'loss': 0.1039, 'learning_rate': 8.90341512946221e-06, 'epoch': 6.45}
{'loss': 0.0958, 'learning_rate': 8.875508246800918e-06, 'epoch': 6.53}
{'loss': 0.0961, 'learning_rate': 8.847295621904647e-06, 'epoch': 6.62}
{'loss': 0.0958, 'learning_rate': 8.818779480492042e-06, 'epoch': 6.7}
{'loss': 0.0957, 'learning_rate': 8.789962072226442e-06, 'epoch': 6.79}
{'loss': 0.0975, 'learning_rate': 8.760845670538387e-06, 'epoch': 6.87}
{'loss': 0.0976, 'learning_rate': 8.731432572446272e-06, 'epoch': 6.96}
{'eval_loss': 0.11609732359647751, 'eval_runtime': 10.6382, 'eval_samples_per_second': 142.694, 'eval_steps_per_second': 17.86, 'epoch': 7.0}
{'loss': 0.0929, 'learning_rate': 8.701725098375127e-06, 'epoch': 7.04}
{'loss': 0.0879, 'learning_rate': 8.671725591973563e-06, 'epoch': 7.12}
{'loss': 0.0948, 'learning_rate': 8.64143641992888e-06, 'epoch': 7.21}
{'loss': 0.0926, 'learning_rate': 8.610859971780345e-06, 'epoch': 7.29}
{'loss': 0.0902, 'learning_rate': 8.579998659730697e-06, 'epoch': 7.38}
{'loss': 0.0889, 'learning_rate': 8.548854918455834e-06, 'epoch': 7.46}
{'loss': 0.0929, 'learning_rate': 8.517431204912742e-06, 'epoch': 7.55}
{'loss': 0.0936, 'learning_rate': 8.485729998145665e-06, 'epoch': 7.63}
{'loss': 0.0898, 'learning_rate': 8.453753799090527e-06, 'epoch': 7.72}
{'loss': 0.0926, 'learning_rate': 8.421505130377638e-06, 'epoch': 7.8}
{'loss': 0.0949, 'learning_rate': 8.38898653613268e-06, 'epoch': 7.89}
{'loss': 0.0893, 'learning_rate': 8.356200581775989e-06, 'epoch': 7.97}
{'eval_loss': 0.11308218538761139, 'eval_runtime': 10.6354, 'eval_samples_per_second': 142.731, 'eval_steps_per_second': 17.865, 'epoch': 8.0}
{'loss': 0.0889, 'learning_rate': 8.323149853820179e-06, 'epoch': 8.06}
{'loss': 0.0869, 'learning_rate': 8.289836959666081e-06, 'epoch': 8.14}
{'loss': 0.0836, 'learning_rate': 8.256264527397052e-06, 'epoch': 8.23}
{'loss': 0.0882, 'learning_rate': 8.222435205571635e-06, 'epoch': 8.31}
{'loss': 0.0895, 'learning_rate': 8.188351663014615e-06, 'epoch': 8.4}
{'loss': 0.0852, 'learning_rate': 8.154016588606472e-06, 'epoch': 8.48}
{'loss': 0.0863, 'learning_rate': 8.119432691071252e-06, 'epoch': 8.57}
{'loss': 0.0815, 'learning_rate': 8.08460269876288e-06, 'epoch': 8.65}
{'loss': 0.0836, 'learning_rate': 8.049529359449913e-06, 'epoch': 8.74}
{'loss': 0.0881, 'learning_rate': 8.014215440098758e-06, 'epoch': 8.82}
{'loss': 0.0873, 'learning_rate': 7.9786637266554e-06, 'epoch': 8.91}
{'loss': 0.0827, 'learning_rate': 7.942877023825604e-06, 'epoch': 8.99}
{'eval_loss': 0.11228872835636139, 'eval_runtime': 10.6392, 'eval_samples_per_second': 142.68, 'eval_steps_per_second': 17.858, 'epoch': 9.0}
{'loss': 0.0814, 'learning_rate': 7.906858154853654e-06, 'epoch': 9.08}
{'loss': 0.0829, 'learning_rate': 7.870609961299627e-06, 'epoch': 9.16}
{'loss': 0.0802, 'learning_rate': 7.83413530281521e-06, 'epoch': 9.25}
{'loss': 0.0819, 'learning_rate': 7.797437056918112e-06, 'epoch': 9.33}
{'loss': 0.0821, 'learning_rate': 7.760518118765048e-06, 'epoch': 9.41}
{'loss': 0.0819, 'learning_rate': 7.723381400923336e-06, 'epoch': 9.5}
{'loss': 0.0828, 'learning_rate': 7.686029833141122e-06, 'epoch': 9.58}
{'loss': 0.0818, 'learning_rate': 7.64846636211626e-06, 'epoch': 9.67}
{'loss': 0.0788, 'learning_rate': 7.610693951263829e-06, 'epoch': 9.75}
{'loss': 0.0813, 'learning_rate': 7.5727155804823545e-06, 'epoch': 9.84}
{'loss': 0.0757, 'learning_rate': 7.534534245918723e-06, 'epoch': 9.92}
{'eval_loss': 0.11113623529672623, 'eval_runtime': 10.6333, 'eval_samples_per_second': 142.759, 'eval_steps_per_second': 17.868, 'epoch': 10.0}
{'loss': 0.0842, 'learning_rate': 7.4961529597318115e-06, 'epoch': 10.01}
{'loss': 0.0738, 'learning_rate': 7.457574749854852e-06, 'epoch': 10.09}
{'loss': 0.077, 'learning_rate': 7.4188026597565635e-06, 'epoch': 10.18}
{'loss': 0.081, 'learning_rate': 7.379839748201039e-06, 'epoch': 10.26}
{'loss': 0.0779, 'learning_rate': 7.3406890890064506e-06, 'epoch': 10.35}
{'loss': 0.0812, 'learning_rate': 7.30135377080254e-06, 'epoch': 10.43}
{'loss': 0.0755, 'learning_rate': 7.261836896786963e-06, 'epoch': 10.52}
{'loss': 0.0742, 'learning_rate': 7.222141584480468e-06, 'epoch': 10.6}
