Some weights of the model checkpoint at ../model/mengzi-bert-base-fin were not used when initializing BertForTokenClassification: ['sop.cls.bias', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.bias', 'cls.predictions.bias', 'pos_transform.dense.bias', 'pos_transform.LayerNorm.bias', 'pos_head.weight', 'sop.cls.weight', 'cls.predictions.transform.LayerNorm.weight', 'pos_transform.dense.weight', 'cls.predictions.transform.dense.weight', 'pos_head.bias', 'pos_transform.LayerNorm.weight']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at ../model/mengzi-bert-base-fin and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
{'eval_loss': 4.313064098358154, 'eval_runtime': 0.3379, 'eval_samples_per_second': 115.431, 'eval_steps_per_second': 14.799, 'epoch': 1.0}
{'eval_loss': 3.4109973907470703, 'eval_runtime': 0.3302, 'eval_samples_per_second': 118.115, 'eval_steps_per_second': 15.143, 'epoch': 2.0}
{'eval_loss': 2.508589506149292, 'eval_runtime': 0.3437, 'eval_samples_per_second': 113.463, 'eval_steps_per_second': 14.547, 'epoch': 3.0}
{'eval_loss': 1.6597912311553955, 'eval_runtime': 0.3222, 'eval_samples_per_second': 121.031, 'eval_steps_per_second': 15.517, 'epoch': 4.0}
{'eval_loss': 1.0642750263214111, 'eval_runtime': 0.325, 'eval_samples_per_second': 120.01, 'eval_steps_per_second': 15.386, 'epoch': 5.0}
{'eval_loss': 0.7529529929161072, 'eval_runtime': 0.3219, 'eval_samples_per_second': 121.139, 'eval_steps_per_second': 15.531, 'epoch': 6.0}
{'eval_loss': 0.5896347761154175, 'eval_runtime': 0.3257, 'eval_samples_per_second': 119.734, 'eval_steps_per_second': 15.351, 'epoch': 7.0}
{'eval_loss': 0.5026388168334961, 'eval_runtime': 0.3231, 'eval_samples_per_second': 120.704, 'eval_steps_per_second': 15.475, 'epoch': 8.0}
{'eval_loss': 0.44727593660354614, 'eval_runtime': 0.3284, 'eval_samples_per_second': 118.773, 'eval_steps_per_second': 15.227, 'epoch': 9.0}
{'eval_loss': 0.4158894121646881, 'eval_runtime': 0.326, 'eval_samples_per_second': 119.615, 'eval_steps_per_second': 15.335, 'epoch': 10.0}
{'eval_loss': 0.389737069606781, 'eval_runtime': 0.3218, 'eval_samples_per_second': 121.195, 'eval_steps_per_second': 15.538, 'epoch': 11.0}
{'eval_loss': 0.37008136510849, 'eval_runtime': 0.3228, 'eval_samples_per_second': 120.815, 'eval_steps_per_second': 15.489, 'epoch': 12.0}
{'eval_loss': 0.35502660274505615, 'eval_runtime': 0.3245, 'eval_samples_per_second': 120.187, 'eval_steps_per_second': 15.409, 'epoch': 13.0}
{'eval_loss': 0.34121763706207275, 'eval_runtime': 0.3316, 'eval_samples_per_second': 117.607, 'eval_steps_per_second': 15.078, 'epoch': 14.0}
{'eval_loss': 0.3301371932029724, 'eval_runtime': 0.3302, 'eval_samples_per_second': 118.124, 'eval_steps_per_second': 15.144, 'epoch': 15.0}
{'eval_loss': 0.31999102234840393, 'eval_runtime': 0.3364, 'eval_samples_per_second': 115.928, 'eval_steps_per_second': 14.863, 'epoch': 16.0}
{'eval_loss': 0.30944395065307617, 'eval_runtime': 0.34, 'eval_samples_per_second': 114.693, 'eval_steps_per_second': 14.704, 'epoch': 17.0}
{'eval_loss': 0.2998660206794739, 'eval_runtime': 0.3406, 'eval_samples_per_second': 114.489, 'eval_steps_per_second': 14.678, 'epoch': 18.0}
{'eval_loss': 0.2901999354362488, 'eval_runtime': 0.3448, 'eval_samples_per_second': 113.114, 'eval_steps_per_second': 14.502, 'epoch': 19.0}
{'loss': 1.1533, 'learning_rate': 1e-05, 'epoch': 20.0}
{'eval_loss': 0.279533714056015, 'eval_runtime': 0.3298, 'eval_samples_per_second': 118.239, 'eval_steps_per_second': 15.159, 'epoch': 20.0}
{'eval_loss': 0.27063414454460144, 'eval_runtime': 0.3283, 'eval_samples_per_second': 118.806, 'eval_steps_per_second': 15.232, 'epoch': 21.0}
{'eval_loss': 0.2614883780479431, 'eval_runtime': 0.33, 'eval_samples_per_second': 118.17, 'eval_steps_per_second': 15.15, 'epoch': 22.0}
{'eval_loss': 0.2527300715446472, 'eval_runtime': 0.3217, 'eval_samples_per_second': 121.23, 'eval_steps_per_second': 15.542, 'epoch': 23.0}
{'eval_loss': 0.24477413296699524, 'eval_runtime': 0.326, 'eval_samples_per_second': 119.639, 'eval_steps_per_second': 15.338, 'epoch': 24.0}
{'eval_loss': 0.23658962547779083, 'eval_runtime': 0.3327, 'eval_samples_per_second': 117.218, 'eval_steps_per_second': 15.028, 'epoch': 25.0}
{'eval_loss': 0.22878235578536987, 'eval_runtime': 0.3211, 'eval_samples_per_second': 121.463, 'eval_steps_per_second': 15.572, 'epoch': 26.0}
{'eval_loss': 0.22065673768520355, 'eval_runtime': 0.3224, 'eval_samples_per_second': 120.959, 'eval_steps_per_second': 15.508, 'epoch': 27.0}
{'eval_loss': 0.212585911154747, 'eval_runtime': 0.3235, 'eval_samples_per_second': 120.57, 'eval_steps_per_second': 15.458, 'epoch': 28.0}
{'eval_loss': 0.2050687074661255, 'eval_runtime': 0.3258, 'eval_samples_per_second': 119.695, 'eval_steps_per_second': 15.346, 'epoch': 29.0}
{'eval_loss': 0.1972111165523529, 'eval_runtime': 0.3234, 'eval_samples_per_second': 120.603, 'eval_steps_per_second': 15.462, 'epoch': 30.0}
{'eval_loss': 0.18968762457370758, 'eval_runtime': 0.3223, 'eval_samples_per_second': 121.009, 'eval_steps_per_second': 15.514, 'epoch': 31.0}
{'eval_loss': 0.1811620593070984, 'eval_runtime': 0.3238, 'eval_samples_per_second': 120.435, 'eval_steps_per_second': 15.44, 'epoch': 32.0}
{'eval_loss': 0.17274659872055054, 'eval_runtime': 0.3225, 'eval_samples_per_second': 120.936, 'eval_steps_per_second': 15.505, 'epoch': 33.0}
{'eval_loss': 0.16403783857822418, 'eval_runtime': 0.3261, 'eval_samples_per_second': 119.612, 'eval_steps_per_second': 15.335, 'epoch': 34.0}
