原始数据（规则筛选或信息抽取）：训练集有数据3000条，验证集有数据334条。
原始数据（规则筛选或信息抽取）：训练集有数据1199条，验证集有数据134条。
规则：训练集有数据574条，验证集有数据64条。
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/scipy/__init__.py:132: UserWarning: A NumPy version >=1.21.6 and <1.28.0 is required for this version of SciPy (detected version 1.21.5)
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Building prefix dict from /home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/synonyms/data/vocab.txt ...
Loading model from cache /tmp/jieba.u2936b6aa2669ea7ea53bb471c04c76db.cache
Loading model cost 0.834 seconds.
Prefix dict has been built successfully.
Simbert不能正常使用，除非你安装：bert4keras、tensorflow ，为了安装快捷，没有默认安装.... No module named 'bert4keras'
smart_open library not found; falling back to local-filesystem-only

 Synonyms: v3.18.0, Project home: https://github.com/chatopera/Synonyms/

 Project Sponsored by Chatopera

  deliver your chatbots with Chatopera Cloud Services --> https://bot.chatopera.com

>> Synonyms load wordseg dict [/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/synonyms/data/vocab.txt] ... 
>> Synonyms on loading stopwords [/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/synonyms/data/stopwords.txt] ...
>> Synonyms on loading vectors [/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/synonyms/data/words.vector.gz] ...
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/scipy/__init__.py:132: UserWarning: A NumPy version >=1.21.6 and <1.28.0 is required for this version of SciPy (detected version 1.21.5)
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Some weights of the model checkpoint at ../model/mengzi-bert-base-fin were not used when initializing BertForTokenClassification: ['pos_transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'sop.cls.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.bias', 'pos_head.bias', 'pos_transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.weight', 'pos_head.weight', 'sop.cls.weight', 'cls.predictions.transform.LayerNorm.weight', 'pos_transform.dense.weight', 'pos_transform.LayerNorm.bias']
- This IS expected if you are initializing BertForTokenClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForTokenClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForTokenClassification were not initialized from the model checkpoint at ../model/mengzi-bert-base-fin and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/asus/miniconda3/envs/intelligent-test/lib/python3.9/site-packages/transformers/optimization.py:391: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
{'loss': 0.6662, 'learning_rate': 4.995155977523736e-05, 'epoch': 0.02}
{'loss': 0.3884, 'learning_rate': 4.990311955047472e-05, 'epoch': 0.04}
{'loss': 0.3559, 'learning_rate': 4.985467932571207e-05, 'epoch': 0.06}
{'loss': 0.3445, 'learning_rate': 4.980623910094943e-05, 'epoch': 0.08}
{'loss': 0.3032, 'learning_rate': 4.975779887618679e-05, 'epoch': 0.1}
{'loss': 0.2937, 'learning_rate': 4.970935865142414e-05, 'epoch': 0.12}
{'loss': 0.2617, 'learning_rate': 4.96609184266615e-05, 'epoch': 0.14}
{'loss': 0.2734, 'learning_rate': 4.961247820189886e-05, 'epoch': 0.16}
{'loss': 0.2503, 'learning_rate': 4.956403797713622e-05, 'epoch': 0.17}
{'loss': 0.2522, 'learning_rate': 4.951559775237357e-05, 'epoch': 0.19}
{'loss': 0.2367, 'learning_rate': 4.946715752761093e-05, 'epoch': 0.21}
{'loss': 0.2414, 'learning_rate': 4.941871730284829e-05, 'epoch': 0.23}
{'loss': 0.2328, 'learning_rate': 4.9370277078085644e-05, 'epoch': 0.25}
{'loss': 0.1996, 'learning_rate': 4.9321836853323e-05, 'epoch': 0.27}
{'loss': 0.2167, 'learning_rate': 4.927339662856036e-05, 'epoch': 0.29}
{'loss': 0.2058, 'learning_rate': 4.922495640379772e-05, 'epoch': 0.31}
{'loss': 0.2036, 'learning_rate': 4.9176516179035073e-05, 'epoch': 0.33}
{'loss': 0.1989, 'learning_rate': 4.912807595427243e-05, 'epoch': 0.35}
{'loss': 0.1944, 'learning_rate': 4.907963572950979e-05, 'epoch': 0.37}
{'loss': 0.1822, 'learning_rate': 4.903119550474715e-05, 'epoch': 0.39}
{'loss': 0.1728, 'learning_rate': 4.8982755279984496e-05, 'epoch': 0.41}
{'loss': 0.1664, 'learning_rate': 4.893431505522186e-05, 'epoch': 0.43}
{'loss': 0.1709, 'learning_rate': 4.888587483045922e-05, 'epoch': 0.45}
{'loss': 0.1822, 'learning_rate': 4.883743460569658e-05, 'epoch': 0.47}
{'loss': 0.1631, 'learning_rate': 4.8788994380933925e-05, 'epoch': 0.48}
{'loss': 0.1782, 'learning_rate': 4.8740554156171286e-05, 'epoch': 0.5}
{'loss': 0.1574, 'learning_rate': 4.869211393140865e-05, 'epoch': 0.52}
{'loss': 0.1682, 'learning_rate': 4.8643673706646e-05, 'epoch': 0.54}
{'loss': 0.1477, 'learning_rate': 4.8595233481883355e-05, 'epoch': 0.56}
{'loss': 0.1713, 'learning_rate': 4.8546793257120715e-05, 'epoch': 0.58}
{'loss': 0.1386, 'learning_rate': 4.8498353032358076e-05, 'epoch': 0.6}
{'loss': 0.1551, 'learning_rate': 4.844991280759543e-05, 'epoch': 0.62}
{'loss': 0.1507, 'learning_rate': 4.8401472582832784e-05, 'epoch': 0.64}
{'loss': 0.1455, 'learning_rate': 4.8353032358070145e-05, 'epoch': 0.66}
{'loss': 0.1384, 'learning_rate': 4.8304592133307505e-05, 'epoch': 0.68}
{'loss': 0.1489, 'learning_rate': 4.825615190854485e-05, 'epoch': 0.7}
{'loss': 0.1408, 'learning_rate': 4.820771168378221e-05, 'epoch': 0.72}
